Q No.,Question,Answer,Domain,Sub-Domain,Model Response
479,১৯ মোল ফ্লোরিনের আণবিক ভর কত?,৭২২,Chemistry,Chemistry,"ফ্লোরিন (F) একটি মৌল পদার্থ এবং এর পারমাণবিক ভর প্রায় ১৯ গ্রাম/মোল। আণবিক ভর সাধারনত একক পরমাণুর পারমাণবিক ভরের উপর ভিত্তি করে নির্ধারণ করা হয়। যেহেতু এখানে ফ্লোরিনের আণবিক ভর জানতে চাওয়া হয়েছে এবং এটিকে অন্য কোনো উপাদানের সাথে মিশ্রিত বলা হয়নি, তাই ১৯ মোল ফ্লোরিনের আণবিক ভর গণনা করা হবে ফ্লোরিনের পরমাণুগুলোর পারমাণবিক ভর দিয়ে।

ফ্লোরিনের পারমাণবিক ভর = ১৯ গ্রাম/মোল।

তাহলে, ১৯ মোল ফ্লোরিনের আণবিক ভর = ১৯ মোল × ১৯ গ্রাম/মোল

\[ = 361 \text{ গ্রাম}\]

**উত্তর: 361**"
82,২ সে.মি. ব্যাস বিশিষ্ট বৃত্তের ৮ সে.মি. দৈর্ঘ্যের একটি চাপ কেন্দ্রে কত রেডিয়ান কোণ ধারণ করে?,৮,Math,Trigonometry,"একটি বৃত্তের ক্ষেত্রে, যদি একটি চাপ দৈর্ঘ্য \( l \) হয় এবং ব্যাস \( d \) হয়, তাহলে কেন্দ্রে ধারণ করা কোণ \( \theta \) রেডিয়ানে হিসাব করা যায় নিচের সূত্র থেকে:

\[
\theta = \frac{l}{r}
\]

এখানে \( l \) হলো চাপের দৈর্ঘ্য এবং \( r \) হলো বৃত্তের ব্যাসার্ধ। 

প্রদত্ত সমস্যায় ব্যাস \( d = 2 \) সে.মি.। সুতরাং, ব্যাসার্ধ \( r = \frac{2}{2} = 1 \) সে.মি.।

চাপের দৈর্ঘ্য \( l = 8 \) সে.মি.।

এখন উপরের সূত্রে মানগুলো বসিয়ে কোণ নির্ণয় করা যাক:

\[
\theta = \frac{8}{1} = 8 \text{ রেডিয়ান}
\]

সুতরাং, কেন্দ্রে ধারণ করা কোণ হলো ৮ রেডিয়ান।

**উত্তর: ৮**"
78,একটি বৃত্তের ব্যাস ৫ সে.মি.। বৃত্তে ১৫ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত রেডিয়ান?,৬,Math,Trigonometry,"প্রথমে আমরা বৃত্তের ব্যাস ৫ সে.মি. থেকে এর ব্যাসার্ধ বের করব। যেহেতু ব্যাসার্ধ ব্যাসের অর্ধেক, সেহেতু বৃত্তের ব্যাসার্ধ হবে:

\[ r = \frac{ব্যাস}{2} = \frac{৫}{২} = ২.৫ \, \text{সে.মি.} \]

এখন কেন্দ্রস্থ কোণ \(( \theta )\) বের করার জন্য আমরা বৃত্তের ব্যাসার্ধ, চাপের দৈর্ঘ্য এবং কোণের যোগসূত্র ব্যবহার করব। কেন্দ্রীয় কোণ \(\theta\) রেডিয়ানে দেওয়া হয়:

\[ \theta = \frac{\text{চাপের দৈর্ঘ্য}}{\text{ব্যাসার্ধ}} \]

আমরা এখানে চাপের দৈর্ঘ্য ১৫ সে.মি. এবং ব্যাসার্ধ ২.৫ সে.মি. স্থাপন করে পাই:

\[ \theta = \frac{১৫}{২.৫} = ৬ \, \text{রেডিয়ান} \]

সুতরাং, বৃত্তের উপর ১৫ সে.মি. দীর্ঘ চাপটির জন্য কেন্দ্রস্থ কোণটি ৬ রেডিয়ান।

**উত্তর: ৬**"
209,দুইটি মুদ্রা নিক্ষেপের ক্ষেত্রে বড়জোর একটি হেড আসার সম্ভাবনা কত?,৩/৪,Math,Probability,"দুইটি মুদ্রা নিক্ষেপ করার সময় চারটি সমান সম্ভাবনা রয়েছে: হেড-হেড (HH), হেড-টেল (HT), টেল-হেড (TH), এবং টেল-টেল (TT)।

আমাদেরকে বের করতে হবে বড়জোর একটি হেড আসার সম্ভাবনা। অর্থাৎ ০ অথবা ১টি হেড আসার সম্ভবনাগুলি দেখতে হবে। 

এগুলি হলো:
1. টেল-টেল (TT) : এখানে কোনো হেড নেই।
2. হেড-টেল (HT) : এখানে একটি হেড আছে।
3. টেল-হেড (TH) : এখানে একটি হেড আছে।

এখন, এই ফলাফলগুলির সম্ভাবনার যোগফল গণনা করি:

টেল-টেল (TT), হেড-টেল (HT), এবং টেল-হেড (TH) - এই তিনটি ঘটনাতেই বড়জোর একটি হেড আসে।

তাহলে, বড়জোর একটি হেড আসার মোট সম্ভাব্য ঘটনা = ৩টি।

এখন, মোট সম্ভাব্য ঘটনাগুলির সংখ্যা = ৪ (HH, HT, TH, TT)।

তাহলে বড়জোর একটি হেড আসার সম্ভাবনা = (বড়জোর একটি হেড আসার ঘটনা সংখ্যা) / (মোট সম্ভাব্য ঘটনা)

\[ = \frac{3}{4} \]

**উত্তর: \(\frac{3}{4}\)**"
320,স্থির অবস্থান থেকে একটি ট্রেন ২০ মি./সে. সুষম ত্বরণে চলার সময় ২৫০ মিটার দূরত্বে অবস্থিত একটি পোস্টকে কত মি./সে. বেগে অতিক্রম করবে?,১০০,Physics,Physics,"সমস্যাটি সমাধান করার জন্য আমরা পদার্থবিজ্ঞানের গতিসূত্র ব্যবহার করবো। প্রশ্ন অনুযায়ী, ট্রেনটি স্থির অবস্থান থেকে গতি শুরু করছে এবং একটা নির্দিষ্ট দূরত্বে পৌঁছানোর সময় তার গতি খুঁজে বের করতে হবে।

প্রথমে যা যা প্রদান করা হয়েছে:
- প্রাথমিক বেগ, \( u = 0 \) মি./সে. (কারণ ট্রেনটি স্থির অবস্থান থেকে শুরু হচ্ছে)
- দূরত্ব, \( s = 250 \) মি.

আমাদের যে তথ্য বের করতে হবে তা হলো চূড়ান্ত বেগ, \( v \)।

যেহেতু ত্বরণ \( a = ২০ \) মি./সে\(^2\) (মাত্রাটা উল্লেখ থাকায় আমরা এটাকে ত্বরণ হিসেবে ধরছি), আমরা \( v^2 = u^2 + 2as \) সমীকরণটি ব্যবহার করতে পারি।

এখানে,
\[ u = 0 \]
\[ s = 250 \]
\[ a = ২০ \]

এখন সমীকরণে মানগুলো প্রদান করি:
\[
v^2 = 0 + 2 \times ২০ \times ২৫০
\]
\[
v^2 = ১০,০০০
\]
এখন, \( v \) বের করতে বর্গমূল নিই:
\[
v = \sqrt{১০,০০০} = ১০০
\]

সুতরাং, ট্রেনটি পোস্টটিকে ১০০ মি./সে. বেগে অতিক্রম করবে।

**উত্তর: ১০০**"
327,মুক্তভাবে পড়ন্ত বস্তু ৬ সেকেন্ডে ৭২ মিটার দূরত্ব অতিক্রম করলে ৩ সেকেন্ডে কত দূরত্ব অতিক্রম করবে?,১৮,Physics,Physics,"প্রথমে, আমরা এক মুক্ত অবস্থায় পড়ন্ত বস্তুর ক্ষেত্রে প্রাপ্ত গতি নির্ধারণ করতে পারি এটা জানা আবশ্যক যে মুক্তভাবে পড়ন্ত কোন বস্তুর ত্বরণ হলো অভিকর্ষজ ত্বরণ, যা পৃথিবীর পৃষ্ঠে আনুমানিক \(9.8 \, \text{মিটার/সেকেন্ড}^2\)।

দেয়া প্রশ্নে বলা হয়েছে, বস্তুটি ৬ সেকেন্ডে ৭২ মিটার দূরত্ব অতিক্রম করেছে। আমরা প্রথমে উদ্দিষ্ট সমীকরণের সাহায্যে বস্তুটির গতি সম্পর্কে ধারণা পেতে পারি। বিনা প্রাথমিক ভেলোসিটির ক্ষেত্রে সমীকরণটি হয়:

\[ s = \frac{1}{2} g t^2 \]

এখানে, 
- \(s\) হচ্ছে অতিক্রান্ত দূরত্ব (মিটার),
- \(g\) হচ্ছে অভিকর্ষজ ত্বরণ (\(9.8 \, \text{মিটার/সেকেন্ড}^2\)),
- \(t\) হচ্ছে সময় (সেকেন্ড)।

প্রাথমিক তথ্য থেকে:

\[ 72 = \frac{1}{2} \times 9.8 \times 6^2 \]

যদি আমরা \(g\) এর সঠিক মুল্য অনুসন্ধান করি, তাহলে প্রকৃতপক্ষে \(g\) এর বিশেষ অবকাঠামোগত ব্যবহার প্রয়োজন হচ্ছে না, কারণ বস্তুর আসলে যেকোন মুক্ত ভাবে পতন কোন দূরত্ব গতি হতে পারে, যেকোন ভারী অথবা হালকা হিসেবে ব্যাবহার হয়ে থাকবে। আমরা কেবল কাল্পনিক অর্থে প্রশ্নটির সমাধান করতে পারি।

এখন যদি আমরা \(t = 3\) সেকেন্ডের জন্য দূরত্ব নির্ধারণ করি:

\[ s = \frac{1}{2} \times 9.8 \times 3^2 \]

\[ s = \frac{1}{2} \times 9.8 \times 9 \]

\[ s = 4.9 \times 9 \]

\[ s = 44.1 \]

তাহলে, ৩ সেকেন্ডে বস্তুটি মোট ৪৪.১ মিটার দূরত্ব অতিক্রম করবে।

**""উত্তর: ৪৪.১""**"
249,২০০০ সালে ফেব্রুয়ারি মাসে ৫ দিন বৃষ্টি হয়েছিল । ১২ ফেব্রুয়ারি বৃষ্টি হওয়ার সম্ভাবনা কত?,৫/২৯,Math,Probability,"দেওয়া আছে যে ২০০০ সালে ফেব্রুয়ারি মাসে ৫ দিন বৃষ্টি হয়েছিল। আমাদের জানতে হবে ১২ ফেব্রুয়ারি বৃষ্টি হওয়ার সম্ভাবনা কত।

ফেব্রুয়ারি মাসে মোট ২৯ দিন থাকে যদি সেটা লিপ ইয়ার হয়। ২০০০ সাল লিপ ইয়ার কারণ ২০০০ সংখ্যা ৪ দ্বারা বিভাজ্য এবং ১০০ দ্বারা বিভাজ্য হলেও এই সংখ্যা ৪০০ দ্বারা বিভাজ্য।

তাহলে, ২০০০ সালে ফেব্রুয়ারি মাসে মোট ২৯ দিন আছে।

বৃষ্টি হয়েছে মোট ৫ দিন। ১২ ফেব্রুয়ারি তারিখের বৃষ্টি হওয়ার সম্ভাবনা বের করার জন্য, আমরা নিম্নলিখিত হিসেবটা করবো:

বৃষ্টি হওয়ার দিন সংখ্যা: ৫
মোট দিন সংখ্যা: ২৯

তাহলে ১২ ফেব্রুয়ারি বৃষ্টি হওয়ার সম্ভাবনা:

\[
\frac{5}{29}
\]

এই ভগ্নাংশের গাণিতিক হিসাব করলে পাই:

\[
\frac{5}{29} \approx 0.1724
\]

প্রতিপাদিত করে, ১২ ফেব্রুয়ারি বৃষ্টি হওয়ার সম্ভাবনা প্রায় \(17.24\%\)।

**উত্তর: 0.1724**"
325,স্থির অবস্থান থেকে বিনা বাধায় বস্তুকে ছেড়ে দিলে চারগুন দূরত্বে বেগ কতগুণ বৃদ্ধি পাবে? ,১,Physics,Physics,"একটি বস্তুকে যদি স্থির অবস্থান থেকে ছেড়ে দেওয়া হয় এবং এটি মুক্তভাবে পতন করে, তবে এটি অভিকর্ষজ ত্বরণ দ্বারা প্রভাবিত হবে। অভিকর্ষজ ত্বরণের মান স্থানে স্থানে ভিন্ন হতে পারে, তবে সাধারণত পৃথিবীতে \(g = 9.8 \, \text{m/s}^2\) হিসেবে নেওয়া হয়।

আমরা জানি, বিনা বাধায় পতনের সময়, গতির সমীকরণ হলো:
\[ v^2 = u^2 + 2as \]

যেখানে,
- \( v \) = চূড়ান্ত বেগ
- \( u \) = প্রাথমিক বেগ (এবং এখানে এটি 0, কারণ স্থির অবস্থা থেকে শুরু হচ্ছে)
- \( a \) = ত্বরণ (এখানে \(g\))
- \( s \) = দূরত্ব

প্রাথমিক অবস্থায় বস্তুর জন্য:
\[ v_1^2 = 0 + 2gs_1 \]

চারগুণ দূরত্বে বস্তুর জন্য:
\[ v_2^2 = 0 + 2g(4s_1) = 8gs_1 \]

এখন, আমরা চাইছি বেগ কতগুণ বেড়েছে। তাই আমরা \( v_1 \) এবং \( v_2 \) এর অনুপাত বের করবো:
\[
\frac{v_2}{v_1} = \sqrt{\frac{v_2^2}{v_1^2}} = \sqrt{\frac{8gs_1}{2gs_1}} = \sqrt{4} = 2
\]

অতএব, চারগুণ দূরত্বে বেগ দ্বিগুণ বেড়ে যাবে।

**উত্তর: 2**"
621,গ্লুকোজ এ অক্সিজেনের শতকরা পরিমাণ কত?,৫৩.৩৩,Chemistry,Chemistry,"গ্লুকোজ একটি সাধারণ শর্করা, যার রাসায়নিক সংকেত C₆H₁₂O₆। গ্লুকোজের অণুতে কার্বন (C), হাইড্রোজেন (H) এবং অক্সিজেন (O) পরমাণু রয়েছে। আমাদের কাজ হলো এই অণুতে অক্সিজেনের শতকরা পরিমাণ নির্ণয় করা।

প্রথমে আমরা প্রতিটি উপাদানের আনুপাতিক ভর গণনা করবো। সাধারণত এর জন্য পারমাণবিক ভর ব্যবহার করা হয়:

- কার্বন (C) এর পারমাণবিক ভর: ১২ গ্রাম/মোল
- হাইড্রোজেন (H) এর পারমাণবিক ভর: ১ গ্রাম/মোল
- অক্সিজেন (O) এর পারমাণবিক ভর: ১৬ গ্রাম/মোল

এখন, গ্লুকোজের মোট ভর গণনা করি:

গ্লুকোজের মোট ভর = (কার্বন পারমাণবিক সংখ্যা × কার্বন পারমাণবিক ভর) + (হাইড্রোজেন পারমাণবিক সংখ্যা × হাইড্রোজেন পারমাণবিক ভর) + (অক্সিজেন পারমাণবিক সংখ্যা × অক্সিজেন পারমাণবিক ভর)

= (৬ × ১২) + (১২ × ১) + (৬ × ১৬)

= ৭২ + ১২ + ৯৬

= ১৮০ গ্রাম/মোল

এখন, অক্সিজেনের মোট ভর:

অক্সিজেনের মোট ভর = অক্সিজেন পারমাণবিক সংখ্যা × অক্সিজেন পারমাণবিক ভর

= ৬ × ১৬

= ৯৬ গ্রাম/মোল

অক্সিজেনের শতকরা পরিমাণ = (অক্সিজেনের মোট ভর / গ্লুকোজের মোট ভর) × ১০০%

= (৯৬ / ১৮০) × ১০০%

= ৫৩.৩৩%

**উত্তর: ৫৩.৩৩**"
121,একটি গাড়ির চাকার ব্যাস ০.৮ মিটার এবং চাকাটি প্রতি সেকেন্ডে ৬ বার ঘুরে। গাড়িটির গতিবেগ কত কিলোমিটার/ঘণ্টা?,৫৪.২৮,Math,Trigonometry,"গাড়ির গতি বের করার জন্য আমাদের প্রথমে একটি ঘূর্ণনের পরিধি বের করতে হবে। একটি চক্রের পরিধি (বৃত্তের পরিধি) গণনা করা হয়:

\[ পরিধি = \pi \times ব্যাস \]

এখানে চাকার ব্যাস \( 0.8 \) মিটার। তাহলে,

\[ পরিধি = \pi \times 0.8 = 0.8\pi \] মিটার।

গাড়ির চাকা প্রতি সেকেন্ডে ৬ বার ঘুরে, সুতরাং এক সেকেন্ডে অতিক্রান্ত দূরত্ব হবে:

\[ 6 \times 0.8\pi \] মিটার।

এখন, এক ঘন্টা = ৩৬০০ সেকেন্ড। তাই এক ঘন্টায় অতিক্রান্ত দূরত্ব হবে:

\[ 6 \times 0.8\pi \times 3600 \] মিটার।

যেহেতু আমরা গাড়ির গতিবেগ কিলোমিটার/ঘণ্টায় গণনা করতে চাই, তাই আমাদের মিটারকে কিলোমিটারে রূপান্তর করতে হবে। ১০০০ মিটার = ১ কিলোমিটার, তাই:

\[ \frac{6 \times 0.8\pi \times 3600}{1000} \] কিলোমিটার।

\[ = 17.28\pi \] কিলোমিটার।

প্রায় হিসেবে, \(\pi \approx 3.1416\) ধরা যায়।

সুতরাং, গতি হবে:

\[ 17.28 \times 3.1416 = 54.280448 \] কিলোমিটার/ঘণ্টা।

**উত্তর: 54.28**"
