Q No.,Question,Answer,Model Response
638,"কোনো প্রকৃত ভগ্নাংশের লব ও হরের যোগফল ১৪ এবং বিয়োগফল ৮ হলে, ভগ্নাংশটি নির্ণয় কর।",৩/১১,"ধরি, প্রকৃত ভগ্নাংশটির লব x এবং হর y।

প্রশ্নানুসারে,
x + y = 14     --- (1)
x - y = 8      --- (2)

এখন, আমরা এই দুইটি সমীকরণ যোগ করে পাই:
(x + y) + (x - y) = 14 + 8
=> 2x = 22
=> x = 11

এখন, x এর মান (1) নং সমীকরণে বসিয়ে পাই:
11 + y = 14
=> y = 14 - 11
=> y = 3

যেহেতু x = 11 এবং y = 3, তাই ভগ্নাংশটি হবে x/y = 11/3। কিন্তু এটি একটি প্রকৃত ভগ্নাংশ নয়, কারণ লব হর থেকে বড়।

সমীকরণ (1) ও (2) বিয়োগ করে পাই,

(x+y) - (x-y) = 14 - 8
=> x + y - x + y = 6
=> 2y = 6
=> y = 3

এখন y এর মান (1) নং সমীকরণে বসিয়ে পাই,
x + 3 = 14
=> x = 14 - 3
=> x = 11

এখানেও ভগ্নাংশটি 11/3 আসে যা প্রকৃত ভগ্নাংশ নয়। তার মানে লব ও হরের যোগফল ১৪ এবং বিয়োগফল ৮ হলে কোনো প্রকৃত ভগ্নাংশ নির্ণয় করা সম্ভব নয়।

যদি আমরা হরকে x এবং লবকে y ধরি, তাহলে:
x + y = 14
x - y = 8

যোগ করে পাই, 2x = 22 বা, x = 11
তাহলে, y = 14 - 11 = 3

অতএব, ভগ্নাংশটি হবে 3/11।

উত্তর: ১১/৩ অথবা ৩/১১
যেহেতু প্রশ্নে প্রকৃত ভগ্নাংশ বলা হয়েছে, তাই উত্তর হবে:
উত্তর: ৩/১১"
221,"১০৭১ টি ধুতি, ৫৯৫ টি শাড়ি ও ৩৫৭ টি জামা মজুদ আছে। কিছু পরিবারের মধ্যে ওই জিনিসগুলি সমানভাগে ভাগ করে দেয়া হলো। প্রত্যেক পরিবার কতগুলি জামা পাবে।",৩,"এখানে প্রশ্নটিতে কয়েকটি বিষয় উল্লেখ করা হয়েছে। প্রথমত, ১০৭১টি ধুতি, ৫৯৫টি শাড়ি এবং ৩৫৭টি জামা মজুদ আছে। দ্বিতীয়ত, এই জিনিসগুলি কিছু পরিবারের মধ্যে সমানভাবে ভাগ করে দেওয়া হয়েছে। প্রশ্নটি হলো, প্রত্যেক পরিবার কতগুলি জামা পাবে?

এই সমস্যাটি সমাধান করতে হলে প্রথমে দেখতে হবে যে পরিবারগুলোর মধ্যে ধুতি, শাড়ি ও জামা সমানভাবে ভাগ করে দেওয়া হয়েছে। এর মানে হলো, পরিবার সংখ্যা এমন একটি সংখ্যা হতে হবে যা দিয়ে ১০৭১, ৫৯৫ এবং ৩৫৭ তিনটি সংখ্যাই নিঃশেষে বিভাজ্য। অর্থাৎ, পরিবার সংখ্যা হবে ১০৭১, ৫৯৫ এবং ৩৫৭-এর গরিষ্ঠ সাধারণ গুণনীয়ক (GCF)।

প্রথমে ৫৯৫ এবং ৩৫৭-এর গরিষ্ঠ সাধারণ গুণনীয়ক নির্ণয় করি:
৫৯৫ = ৩৫৭ × ১ + ২৩৮
৩৫৭ = ২৩৮ × ১ + ১১৯
২৩৮ = ১১৯ × ২ + ০

সুতরাং, ৫৯৫ এবং ৩৫৭-এর গরিষ্ঠ সাধারণ গুণনীয়ক হলো ১১৯।

এবার ১০৭১ এবং ১১৯-এর গরিষ্ঠ সাধারণ গুণনীয়ক নির্ণয় করি:
১০৭১ = ১১৯ × ৯ + ০

সুতরাং, ১০৭১ এবং ১১৯-এর গরিষ্ঠ সাধারণ গুণনীয়ক হলো ১১৯।

অতএব, ১০৭১, ৫৯৫ এবং ৩৫৭-এর গরিষ্ঠ সাধারণ গুণনীয়ক হলো ১১৯। তার মানে, পরিবার সংখ্যা ১১৯।

যেহেতু ৩৫৭টি জামা ১১৯টি পরিবারের মধ্যে সমানভাবে ভাগ করে দেওয়া হয়েছে, তাই প্রত্যেক পরিবার জামা পাবে:
৩৫৭ ÷ ১১৯ = ৩

সুতরাং, প্রত্যেক পরিবার ৩টি করে জামা পাবে।

উত্তর: ৩"
429,"২১৬০ টাকা রূমি, জেসমিন ও কাকলির মধ্যে ১ : ২ : ৩ অনুপাতে ভাগ করে দিলে জেসমিন কত টাকা পাবে ?",৭২০,"ধরি, রুমি, জেসমিন ও কাকলি যথাক্রমে x, 2x ও 3x টাকা পাবে।
প্রশ্নানুসারে,
x + 2x + 3x = ২১৬০
বা, 6x = ২১৬০
বা, x = ২১৬০ / ৬
অতএব, x = ৩৬০

জেসমিন পাবে 2x টাকা = ২ * ৩৬০ = ৭২০ টাকা।

উত্তর: ৭২০"
327,"এক ইউরো সমান ১২০ টাকা হলে, নয় কোটি চুরানব্বই লক্ষ তেত্রিশ হাজার চারশত চল্লিশ টাকা সমান কত ইউরো?",৮২৮৬১২,"এখানে সমস্যাটি হলো, টাকার পরিমাণ থেকে ইউরোর পরিমাণ বের করতে হবে।

আমরা জানি, ১ ইউরো = ১২০ টাকা

সুতরাং, ৯ কোটি চুরানব্বই লক্ষ তেত্রিশ হাজার চারশত চল্লিশ টাকা = (৯,৯৪,৩৩,৪৪০ / ১২০) ইউরো

এখন, ৯,৯৪,৩৩,৪৪০ কে ১২০ দিয়ে ভাগ করি।

৯,৯৪,৩৩,৪৪০ ÷ ১২০ = ৮,২৮,৬১২

সুতরাং, ৯ কোটি চুরানব্বই লক্ষ তেত্রিশ হাজার চারশত চল্লিশ টাকা সমান ৮,২৮,৬১২ ইউরো।

উত্তর: ৮২৮৬১২"
73,এক ইঞ্চি সমান ২.৫৪ সে.মি। ৮.৫ ইঞ্চি সমান কত সে.মি?,২১.৫৯,"আমরা জানি, ১ ইঞ্চি = ২.৫৪ সে.মি।

সুতরাং, ৮.৫ ইঞ্চি = ৮.৫ * ২.৫৪ সে.মি

= ২১.৫৯ সে.মি

উত্তর: ২১.৫৯"
517,কোন সংখ্যা থেকে ২৭ বিয়োগ করলে বিয়োগফল -২১ হবে?,৬,"ধরি, সংখ্যাটি হলো x।

প্রশ্নানুসারে, সংখ্যাটি থেকে ২৭ বিয়োগ করলে বিয়োগফল -২১ হবে। সুতরাং,

x - ২৭ = -২১

এখন, x এর মান বের করতে হলে, উভয় দিকে ২৭ যোগ করতে হবে।

x - ২৭ + ২৭ = -২১ + ২৭

x = ৬

অতএব, সংখ্যাটি হলো ৬।

উত্তর: ৬"
182,এবছরের অঙ্ক পরীক্ষায় আমাদের ক্লাসের ৬০% ছাত্রছাত্রী ৮০ এর বেশি নম্বর পেয়েছে। আমাদের ক্লাসের মোট ছাত্রছাত্রী ৫০ জন হলে কতজন ছাত্রছাত্রী ৮০ এর বেশি নম্বর পেয়েছে হিসাব করি।,৩০,"এখানে,
মোট ছাত্রছাত্রীর সংখ্যা = ৫০ জন
৮০ এর বেশি নম্বর পেয়েছে এমন ছাত্রছাত্রীর শতকরা হার = ৬০%

সুতরাং, ৮০ এর বেশি নম্বর পেয়েছে এমন ছাত্রছাত্রীর সংখ্যা = (মোট ছাত্রছাত্রীর সংখ্যা) × (৮০ এর বেশি নম্বর পেয়েছে এমন ছাত্রছাত্রীর শতকরা হার)
= ৫০ এর ৬০%
= ৫০ × (৬০/১০০)
= (৫০ × ৬০) / ১০০
= ৩০০ / ১০
= ৩০ জন

অতএব, ৩০ জন ছাত্রছাত্রী ৮০ এর বেশি নম্বর পেয়েছে।

উত্তর: ৩০"
132,ইছামতী নদীর পাড়ের একটি অংশ বাঁধাই করতে ৪০ জন শ্রমিকের ৩৫ দিন সময় লাগে। ২৮ দিনের মধ্যে ওই অংশ বাঁধাতে কতজন শ্রমিক লাগবে হিসাব করি।,৫০,"ধরি, ইছামতী নদীর পাড়ের একটি অংশ বাঁধাই করতে ২৮ দিনের মধ্যে কাজটি শেষ করতে x জন শ্রমিক লাগবে।

এখানে, শ্রমিক সংখ্যা এবং সময় দিনের মধ্যে ব্যস্ত সম্পর্ক বিদ্যমান। অর্থাৎ, শ্রমিক সংখ্যা বাড়লে সময় কম লাগবে এবং শ্রমিক সংখ্যা কমলে সময় বেশি লাগবে।

আমরা জানি,
শ্রমিক সংখ্যা ∝ 1 / সময় (দিনের সংখ্যা)

সুতরাং, ৪০ জন শ্রমিকের লাগে ৩৫ দিন
অতএব, ১ জন শ্রমিকের লাগবে (৩৫ × ৪০) দিন
সুতরাং, x জন শ্রমিকের লাগবে (৩৫ × ৪০) / x দিন

প্রশ্নানুসারে, (৩৫ × ৪০) / x = ২৮
বা, x = (৩৫ × ৪০) / ২৮
বা, x = (৩৫ × ১০) / ৭
বা, x = ৫ × ১০
বা, x = ৫০

সুতরাং, ২৮ দিনের মধ্যে ওই অংশ বাঁধাতে ৫০ জন শ্রমিক লাগবে।

উত্তর: ৫০"
232,১৪৫ ও ২৩২ সংখ্যা দুটির গ.সা.গু -এর মান খুঁজি।,২৯,"১৪৫ এবং ২৩২ এর গ.সা.গু (গরিষ্ঠ সাধারণ গুণনীয়ক) নির্ণয় করার জন্য আমরা ইউক্লিডীয় অ্যালগরিদম ব্যবহার করতে পারি।

১. প্রথমে, বৃহত্তর সংখ্যাটিকে ছোট সংখ্যা দিয়ে ভাগ করি:
২৩২ ÷ ১৪৫ = ১ (ভাগফল) এবং ভাগশেষ = ৮৭

২. এরপর, পূর্বের ভাজক (১৪৫) কে ভাগশেষ (৮৭) দিয়ে ভাগ করি:
১৪৫ ÷ ৮৭ = ১ (ভাগফল) এবং ভাগশেষ = ৫৮

৩. আবার, পূর্বের ভাজক (৮৭) কে ভাগশেষ (৫৮) দিয়ে ভাগ করি:
৮৭ ÷ ৫৮ = ১ (ভাগফল) এবং ভাগশেষ = ২৯

৪. এরপর, পূর্বের ভাজক (৫৮) কে ভাগশেষ (২৯) দিয়ে ভাগ করি:
৫৮ ÷ ২৯ = ২ (ভাগফল) এবং ভাগশেষ = ০

যেহেতু ভাগশেষ ০, তাই শেষ ভাজকটিই হলো গ.সা.গু। এক্ষেত্রে, শেষ ভাজক ২৯।

সুতরাং, ১৪৫ এবং ২৩২ এর গ.সা.গু হলো ২৯।

উত্তর: ২৯"
278,তিনটি ধণাত্মক সংখ্যার প্রথম ও দ্বিতীয়টির গুণফল ২৪; দ্বিতীয় ও তৃতীয়টির গুণফল ৪৮; এবং প্রথম ও তৃতীয়টির গুণফল ৩২। বড় সংখ্যাটি কী হবে হিসাব করি।,৮,"ধরি, সংখ্যা তিনটি হলো x, y এবং z।

আমাদের দেওয়া আছে:
1.  x * y = 24
2.  y * z = 48
3.  x * z = 32

এখন, আমরা এই তিনটি সমীকরণ ব্যবহার করে x, y, এবং z এর মান বের করব।

প্রথমে, সমীকরণ (1) এবং (2) থেকে আমরা পাই:
(x * y) / (y * z) = 24 / 48
=> x / z = 1/2
=> z = 2x

এখন, এই z এর মান সমীকরণ (3) এ বসাই:
x * (2x) = 32
=> 2x^2 = 32
=> x^2 = 16
=> x = 4 (যেহেতু x একটি ধনাত্মক সংখ্যা)

তাহলে, z = 2 * 4 = 8

এখন, x এর মান সমীকরণ (1) এ বসাই:
4 * y = 24
=> y = 6

সুতরাং, সংখ্যা তিনটি হলো x = 4, y = 6, এবং z = 8।

অতএব, এদের মধ্যে বৃহত্তম সংখ্যাটি হলো 8।

উত্তর: 8"
608,"একটি ত্রিভূজাকৃতি জমির ক্ষেত্রফল ২৬৪ বর্গমিটার। এর ভ’মি ২২ মিটার হলে, উচ্চতা নির্ণয় কর।",২৪,"আমরা জানি, ত্রিভুজের ক্ষেত্রফল = (1/2) * ভূমি * উচ্চতা

এখানে,
ত্রিভুজের ক্ষেত্রফল = ২৬৪ বর্গমিটার
ভূমি = ২২ মিটার
উচ্চতা = ?

ধরি, উচ্চতা = h মিটার

সুতরাং, প্রশ্নানুসারে,
(1/2) * ২২ * h = ২৬৪
বা, ১১ * h = ২৬৪
বা, h = ২৬৪ / ১১
বা, h = ২৪

অতএব, ত্রিভুজটির উচ্চতা ২৪ মিটার।

উত্তর: ২৪"
