Q No.,Question,Answer,Model Response
282,"একটি শূন্য ছাড়া ক্ষুদ্রতম পূর্ণবর্গ সংখ্যা খুঁজি যা ২৫,৪০ ও ৬০ দিয়ে বিভাজ্য। সংখ্যাটি হলো _____।",৩৬০০,"প্রথমে শর্তগুলি বিশ্লেষণ করে দেখি। আমাদের যে সংখ্যাটি খুঁজতে হবে তা হলো ২৫, ৪০, এবং ৬০ দিয়ে বিভাজ্য হতে হবে। অর্থাৎ, সংখ্যাটি হবে এই তিনটির গ.সা.গু.-এর গুণিতক।

প্রথমে ২৫, ৪০, এবং ৬০ এর গ.সা.গু. নির্ণয় করা যাক:

২৫ = \(5^2\)  
৪০ = \(2^3 \times 5\)  
৬০ = \(2^2 \times 3 \times 5\)

গ.সা.গু. বের করতে হলে প্রতিটি মৌলিক গুণকের তাদের সর্বোচ্চ উপাধিকে নিতে হবে। তাই গ.সা.গু. হবে:

গ.সা.গু. = \(2^3 \times 3 \times 5^2 = 8 \times 3 \times 25\)

\(= 600\)

এখন আমাদের লক্ষ্য হলো ৬০০ এর ক্ষুদ্রতম পূর্ণবর্গ গুণিতক খুঁজে বের করা। তাই, ৬০০ কে পূর্ণবর্গ সংখ্যা করার চেষ্টা করতে হবে।

৬০০ কে মৌলিক ভগ্নাংশে বিশ্লেষণ করলে পাই:
\[ 600 = 2^3 \times 3^1 \times 5^2 \]

যে কোন পূর্ণবর্গ সংখ্যার মধ্যে প্রতিটি মৌলিক গুণকের সূচক হবে জোড় সংখ্যা। তাই পূর্ণবর্গ করার জন্য আমাদের:

\(2^3\) এর ক্ষেত্রে আরো একটি ২ দরকার (যাতে এটি \(2^4\) হতে পারে)  
\(3^1\) এর ক্ষেত্রে আরো একটি ৩ দরকার (যাতে এটি \(3^2\) হতে পারে)

অতএব, পূর্ণবর্গ সংখ্যা পেতে:

\(600 \times 2 \times 3 = 3600\)

\(3600\) কে বিশ্লেষণ করলে পাই:
\[ 3600 = (2^3 \times 2^1) \times (3^1 \times 3^1) \times 5^2 = 2^4 \times 3^2 \times 5^2 \]

এটি একটি পূর্ণবর্গ সংখ্যা।

অতএব, ৩০ (অর্থাৎ \(360"
287,দুটি ধণাত্মক সংখ্যার গুণফল ৯৮ এবং বড়ো সংখ্যাটি ছোটো সংখ্যাটির ২ গুণ। ছোট সংখ্যাটি হলো _____।,৭,"ধরা যাক, ছোট সংখ্যা হলো \( x \)। বড়ো সংখ্যা ছোট সংখ্যার ২ গুণ হলে বড়ো সংখ্যাটি হবে \( 2x \)।

সমস্যায় বলা হয়েছে, এই দুই সংখ্যার গুণফল ৯৮। অর্থাৎ, 

\[
x \times 2x = 98
\]

এখন সমীকরণটি সমাধান করি:

\[
2x^2 = 98
\]

\( x^2 \)-এর মান বের করতে, উভয় পাশে ২ দিয়ে ভাগ করি:

\[
x^2 = \frac{98}{2}
\]

\[
x^2 = 49
\]

এখন \( x \)-এর মান খুঁজে বের করতে, উভয় পাশে বর্গমূল গ্রহণ করি:

\[
x = \sqrt{49}
\]

\[
x = 7
\]

অতএব, ছোট সংখ্যাটি হলো ৭।

**উত্তর: ৭**"
474,প্রতি মিটার ১২৫ টাকা দরে কাপড় ক্রয় করে ১৫০ টাকা দরে বিক্রয় করলে দোকানদারের ২০০০ টাকা লাভ হয়। দোকানদার মোট _____  মিটার কাপড় ক্রয় করেছিলেন ।,৮০,"আমরা প্রথমে জানবো যে দোকানদারের প্রতি মিটারে কত টাকা লাভ হয় এবং তারপর তার চূড়ান্ত লাভ থেকে আমরা মোট কত মিটার কাপড় ক্রয় করেছিলেন তা বের করবো।

প্রতি মিটার বিক্রয় মূল্য = ১৫০ টাকা  
প্রতি মিটার ক্রয় মূল্য = ১২৫ টাকা

প্রতি মিটারে লাভ = বিক্রয় মূল্য - ক্রয় মূল্য  
                  = ১৫০ - ১২৫  
                  = ২৫ টাকা

মোট লাভ = ২০০০ টাকা

মোট ক্রয় করা মিটার = মোট লাভ / প্রতি মিটারের লাভ  
                 = ২০০০ / ২৫  
                 = ৮০ মিটার

অতএব, দোকানদার মোট ৮০ মিটার কাপড় ক্রয় করেছিলেন।

**উত্তর: ৮০**"
228,"৪২০ টাকা , ৫৬০ টাকা ও ৬৩০ টাকা  -এর গ.সা.গু _____ টাকা।",৭০,"গণিতের সমস্যাটি হলো ৪২০ টাকা, ৫৬০ টাকা এবং ৬৩০ টাকার গ.সা.গু (গণিতের সাধারণ গুণিতক) নির্ণয় করা।

প্রথমে, আমরা প্রদত্ত সংখ্যাগুলোর মৌলিক গুণনিয়ক বিশ্লেষণ করব:

১. ৪২০ এর মৌলিক গুণনীয়ক বিশ্লেষণ:
   ৪২০ = ২ × ২ × ৩ × ৫ × ৭ = \(2^2 \times 3 \times 5 \times 7\)

২. ৫৬০ এর মৌলিক গুণনীয়ক বিশ্লেষণ:
   ৫৬০ = ২ × ২ × ২ × ২ × ৫ × ৭ = \(2^3 \times 5 \times 7\)

৩. ৬৩০ এর মৌলিক গুণনীয়ক বিশ্লেষণ:
   ৬৩০ = ২ × ৩ × ৩ × ৫ × ৭ = \(2 \times 3^2 \times 5 \times 7\)

এখন, আমরা গ.সা.গু খুঁজব, যা নেওয়া হল মোট ক্ষুদ্রতম সূচক সহ প্রতিটি সাধারণ মৌলিক গুণনীয়ক:

- \(2\): ক্ষুদ্রতম সূচক হল \(2^1\), কারণ ৪২০ এর সাথে সম্পর্কিত।
- \(3\): ক্ষুদ্রতম সূচক হল \(3^1\), কারণ ৪২০ এর সাথে সম্পর্কিত এবং ৫৬০ থেকে ছোট।
- \(5\): ক্ষুদ্রতম সূচক হল \(5^1\)
- \(7\): ক্ষুদ্রতম সূচক হল \(7^1\)

অতএব, গ.সা.গু:
\[2^1 \times 3^1 \times 5^1 \times 7^1 = 2 \times 3 \times 5 \times 7 = 210\]

সুতরাং, ৪২০ টাকা, ৫৬০ টাকা এবং ৬৩০ টাকার গ.সা.গু হলো ২১০ টাকা।

**উত্তর: ২১০**"
437,একটি গার্মেন্টস ফ্যাক্টরিতে দৈনিক ৫৫০ টি শার্ট তৈরি হয়। ঐ ফ্যাক্টরিতে একই হারে ১ সপ্তাহে _____ টি শার্ট তৈরি হয় ।,৩৮৫০,"১ সপ্তাহে ৭ দিন থাকে। প্রতি দিন ৫৫০ টি শার্ট তৈরি হয়। তাই ১ সপ্তাহে তৈরি শার্টের সংখ্যা হবে,

\[ 
৭ \text{ দিন} \times ৫৫০ \text{ শার্ট/দিন} = ৩৮৫০ \text{ শার্ট}
\]

অতএব, ১ সপ্তাহে ঐ গার্মেন্টস ফ্যাক্টরিতে তৈরি শার্টের সংখ্যা হলো ৩৮৫০ টি।

**উত্তর: ৩৮৫০**"
361,একটি বর্গাকার মাঠের এক পাশের দৈর্ঘ্য ৫/২ কি.মি.। মাঠের ক্ষেত্রফল _____ বর্গকিমি।,২৫/৪,"একটি বর্গাকার ক্ষেত্রের ক্ষেত্রফল হিসাব করতে হলে আমাদের বর্গাকারটির এক পাশের দৈর্ঘ্যের বর্গ করতে হবে। 

মনে করি, বর্গটির এক পাশের দৈর্ঘ্য \(a\) কিলোমিটার। তাহলে বর্গটির ক্ষেত্রফল \(A\) হবে:

\[
A = a^2
\]

এখানে \(a = \frac{৫}{২}\) কি.মি.। সুতরাং ক্ষেত্রফল হবে:

\[
A = \left(\frac{৫}{২}\right)^2
\]

ধাপ ১: ভগ্নাংশটির বর্গ করার জন্য লঘুগুণফল আলাদা আলাদা করি:

\[
\left(\frac{৫}{২}\right)^2 = \frac{৫^2}{২^2} = \frac{২৫}{৪}
\]

ধাপ ২: ভগ্নাংশের হিসাব:

\[
\frac{২৫}{৪} = ৬.২৫
\]

তাহলে, বর্গাকার ক্ষেত্রটির ক্ষেত্রফল ৬.২৫ বর্গকিমি।

**উত্তর: ৬.২৫**"
649,৫ বছর পূর্বে পিতা ও পুত্রের বয়সের অনুপাত ছিল ৩:১ এবং ১৫ বছর পর পিতা ও পুত্রের বয়সের অনুপাত হবে ২:১। পুত্রের বর্তমান বয়স _____ বছর।,২৫,"ধরা যাক, বর্তমান পুত্রের বয়স \( x \) বছর এবং পিতার বয়স \( y \) বছর।

৫ বছর পূর্বে পিতা ও পুত্রের বয়স ছিল \( y - 5 \) এবং \( x - 5 \) বছর। তখন তাদের বয়সের অনুপাত ছিল ৩:১, অর্থাৎ

\[
\frac{y - 5}{x - 5} = \frac{3}{1}
\]

এই সমীকরণ থেকে পাবো:

\[
y - 5 = 3(x - 5)
\]

\[
y - 5 = 3x - 15
\]

\[
y = 3x - 10 \quad \cdots \quad (1)
\]

এখন, ১৫ বছর পর পিতা ও পুত্রের বয়স হবে \( y + 15 \) এবং \( x + 15 \) বছর। তখন তাদের বয়সের অনুপাত হবে ২:১, অর্থাৎ

\[
\frac{y + 15}{x + 15} = \frac{2}{1}
\]

এই সমীকরণ থেকে পাবো:

\[
y + 15 = 2(x + 15)
\]

\[
y + 15 = 2x + 30
\]

\[
y = 2x + 15 \quad \cdots \quad (2)
\]

এখন (1) এবং (2) সমীকরণ সমাধান করে \( x \) এবং \( y \)-এর মান নির্ণয় করবো।

(1) থেকে

\[
y = 3x - 10
\]

এটি (2) তে স্থাপন করলে,

\[
3x - 10 = 2x + 15
\]

\[
3x - 2x = 15 + 10
\]

\[
x = 25
\]

বর্তমান পুত্রের বয়স হলো ২৫ বছর।

**উত্তর: ২৫**"
466,একটি ছাগল ১০% ক্ষতিতে বিক্রয় করা হলো। বিক্রয়মূল্য ৪৫০ টাকা বেশি হলে ৫% লাভ হতো। ছাগলটির ক্রয়মূল্য _____ টাকা।,৩০০০,"ধরি ছাগলটির ক্রয়মূল্য \( x \) টাকা।

প্রথমে, ১০% ক্ষতিতে বিক্রয়মূল্য হবে:
\( \text{বিক্রয়মূল্য} = x - \frac{10}{100} \times x = 0.9x \)

প্রশ্নে বলা হয়েছে, যদি বিক্রয়মূল্য ৪৫০ টাকা বেশি হতো, তাহলে ৫% লাভ হতো। অর্থাৎ নতুন বিক্রয়মূল্য:
\( \text{নতুন বিক্রয়মূল্য} = 0.9x + 450 \)

এখন, ৫% লাভের জন্য:
\( \text{লাভের বিক্রয়মূল্য} = x + \frac{5}{100} \times x = 1.05x \)

এখন সমীকরণ সেট করি:
\[ 0.9x + 450 = 1.05x \]

এখন \( x \)-এর মান বের করি:
\[ 450 = 1.05x - 0.9x \]
\[ 450 = 0.15x \]

এখন দুই পাশে \( 0.15 \) দিয়ে ভাগ করলে:
\[ x = \frac{450}{0.15} \]
\[ x = 3000 \]

অতএব, ছাগলটির ক্রয়মূল্য ৩০০০ টাকা।

**উত্তর: ৩০০০**"
620,একটি বর্গাকার ক্ষেত্রের এক বাহুর দৈর্ঘ্য ৩০০ মিটার এবং বাইরে চারদিকে ৪ মিটার চওড়া একটি রাস্তা আছে। রাস্তাটির ক্ষেত্রফল _____  বর্গমিটার।,৪৮৬৪,"প্রদত্ত সমস্যাটি সমাধান করার জন্য, প্রথমে আমরা পুরো ক্ষেত্র এবং রাস্তাসহ বর্গটির ক্ষেত্রফল নির্ণয় করবো, এরপর মূল বর্গাকার ক্ষেত্রটির ক্ষেত্রফল বিয়োগ করবো। এই প্রক্রিয়াটি অনুসরণ করে আমরা রাস্তাটির ক্ষেত্রফল পেতে পারি।

১. মূল বর্গাকার ক্ষেত্রের এক বাহুর দৈর্ঘ্য \( ৩০০ \) মিটার।

২. রাস্তাসহ বৃহত্তর বর্গটির এক বাহুর দৈর্ঘ্য হবে \( ৩০০ + ৪ + ৪ = ৩০৮ \) মিটার। এখানে ৪ মিটার করে দুই পাশে রাস্তা আছে, তাই মোট ৮ মিটার যোগ করতে হবে।

৩. বৃহত্তর বর্গটির ক্ষেত্রফল হবে:
   \[
   ৩০৮ \times ৩০৮ = ৯৪,৮৬৪ \text{ বর্গমিটার}
   \]

৪. মূল বর্গাকার ক্ষেত্রটির ক্ষেত্রফল হবে:
   \[
   ৩০০ \times ৩০০ = ৯০,০০০ \text{ বর্গমিটার}
   \]

৫. রাস্তাটির ক্ষেত্রফল হবে বৃহত্তর এবং মূল ক্ষেত্রের ক্ষেত্রফলের পার্থক্য:
   \[
   ৯৪,৮৬৪ - ৯০,০০০ = ৪,৮৬৪ \text{ বর্গমিটার}
   \]

অতএব, রাস্তাটির ক্ষেত্রফল হলো **""উত্তর: ৪৮৬৪""**।"
91,একটি গাড়ি এক ঘণ্টায় ৪২.৮ কি.মি. যায়। তাহলে ১৫.৫ ঘণ্টায় গাড়িটি _____ কি.মি. যায়।,৬৬৩.৪০,"গাড়িটি প্রতি ঘণ্টায় ৪২.৮ কি.মি. যায়। আমাদের হিসাব করতে হবে ১৫.৫ ঘণ্টায় গাড়িটি কত কি.মি. যাবে।

প্রথমে প্রতি ঘণ্টার দূরত্ব এবং মোট সময়কে গুণ করতে হবে, অর্থাৎ:

\[ \text{মোট দূরত্ব} = \text{প্রতি ঘণ্টায় দূরত্ব} \times \text{সময়} \]

\[ \text{মোট দূরত্ব} = ৪২.৮ \times ১৫.৫ \]

এখন গুণফল বের করি:

\[ ৪২.৮ \times ১৫.৫ = ৬৬৩.৪ \]

সুতরাং, গাড়িটি ১৫.৫ ঘণ্টায় ৬৬৩.৪ কি.মি. যাবে।

**উত্তর: ৬৬৩.৪**"
