Q No.,Question,Answer,Model Response
282,"একটি শূন্য ছাড়া ক্ষুদ্রতম পূর্ণবর্গ সংখ্যা খুঁজি যা ২৫,৪০ ও ৬০ দিয়ে বিভাজ্য। সংখ্যাটি হলো _____।",৩৬০০,"একটি সংখ্যা 25, 40 এবং 60 দ্বারা বিভাজ্য হওয়ার জন্য, এটি অবশ্যই এই সংখ্যাগুলির সর্বনিম্ন সাধারণ মাল্টিপল (LCM) দ্বারা বিভাজ্য হতে হবে।

LCM খুঁজে বের করার জন্য, আসুন প্রথমে 25, 40 এবং 60 এর মৌলিক গুণনীয়ক খুঁজে বের করি:

25 = 5^2
40 = 2^3 * 5
60 = 2^2 * 3 * 5

এখন, আমরা LCM খুঁজে পেতে প্রতিটি মৌলিক ফ্যাক্টরের সবচেয়ে উচ্চ শক্তি নিই:

LCM(25, 40, 60) = 2^3 * 3 * 5^2 = 600

তাই, একটি সংখ্যা 25, 40 এবং 60 দ্বারা বিভাজ্য হওয়ার জন্য, এটি অবশ্যই 600 দ্বারা বিভাজ্য হতে হবে।

এখন, �"
287,দুটি ধণাত্মক সংখ্যার গুণফল ৯৮ এবং বড়ো সংখ্যাটি ছোটো সংখ্যাটির ২ গুণ। ছোট সংখ্যাটি হলো _____।,৭,"ধরা যাক, ছোট সংখ্যাটি হল x। বড় সংখ্যাটি হল x এর ২ গুণ, তাই এটি ২x।

দুই সংখ্যার গুণফল ৯৮, তাই আমরা সমীকরণটি লিখতে পারি:

x * 2x = 98

এই সমীকরণটি সরল করে, আমরা পাই:

2x^2 = 98

এখন, আমরা x এর মান বের করতে পারি:

2x^2 = 98
x^2 = 98 / 2
x^2 = 49
x = √49
x = 7

সুতরাং, ছোট সংখ্যাটি হল 7।

উত্তর: 7"
474,প্রতি মিটার ১২৫ টাকা দরে কাপড় ক্রয় করে ১৫০ টাকা দরে বিক্রয় করলে দোকানদারের ২০০০ টাকা লাভ হয়। দোকানদার মোট _____  মিটার কাপড় ক্রয় করেছিলেন ।,৮০,"প্রতি মিটার কাপড়ের দাম ১২৫ টাকা। প্রতি মিটার কাপড়ের বিক্রয় মূল্য ১৫০ টাকা। এক মিটার কাপড়ের লাভ হল ১৫০ - ১২৫ = ২৫ টাকা।

দোকানদারের মোট লাভ হল ২০০০ টাকা। যেহেতু এক মিটার কাপড়ের লাভ ২৫ টাকা, তাই মোট লাভ ২০০০ টাকা হওয়ার জন্য, দোকানদারের অবশ্যই ২০০০ / ২৫ = ৮০ মিটার কাপড় ক্রয় ও বিক্রয় করতে হবে।

উত্তর: 80"
228,"৪২০ টাকা , ৫৬০ টাকা ও ৬৩০ টাকা  -এর গ.সা.গু _____ টাকা।",৭০,"তিনটি সংখ্যার সর্বশ্রেষ্ঠ সাধারণ গুণনীয়ক (গ.সা.গু) খুঁজে পেতে, আমাদের প্রতিটি সংখ্যার গুণনীয়ক খুঁজে বের করতে হবে এবং তারপর তাদের মধ্যে সাধারণ গুণনীয়কগুলি খুঁজে বের করতে হবে।

৪২০ এর গুণনীয়কগুলি হল: 1, 2, 4, 5, 10, 20, 21, 28, 42, 70, 84, 105, 140, 210, 420।

৫৬০ এর গুণনীয়কগুলি হল: 1, 2, 4, 5, 7, 8, 10, 14, 20, 28, 35, 40, 56, 70, 80, 112, 140, 280, 560।

৬৩০ এর গুণনীয়কগুলি হল: 1, 2, 3, 5, 6, 7, 9, 10, 14, 15, 18, 21, 30, 35, 42, 45, 63, 70, 90, 105, 126, 210, 315, 630।

"
437,একটি গার্মেন্টস ফ্যাক্টরিতে দৈনিক ৫৫০ টি শার্ট তৈরি হয়। ঐ ফ্যাক্টরিতে একই হারে ১ সপ্তাহে _____ টি শার্ট তৈরি হয় ।,৩৮৫০,"একটি গার্মেন্টস ফ্যাক্টরিতে দৈনিক ৫৫০ টি শার্ট তৈরি হয়। আমাদের এক সপ্তাহে কতগুলি শার্ট তৈরি হয় তা খুঁজে বের করতে হবে।

এক সপ্তাহে ৭ দিন থাকে। যেহেতু প্রতিদিন ৫৫০ টি শার্ট তৈরি হয়, তাই এক সপ্তাহে তৈরি শার্টের সংখ্যা হবে:

৫৫০ টি/দিন * ৭ দিন = ৩৮৫০ টি

সুতরাং, এক সপ্তাহে ৩৮৫০ টি শার্ট তৈরি হয়।

উত্তর: ৩৮৫০"
361,একটি বর্গাকার মাঠের এক পাশের দৈর্ঘ্য ৫/২ কি.মি.। মাঠের ক্ষেত্রফল _____ বর্গকিমি।,২৫/৪,"একটি বর্গাকার মাঠের ক্ষেত্রফল বের করতে, আমাদের বর্গক্ষেত্রের পাশের দৈর্ঘ্যকে বর্গ করতে হবে।

এখানে, পাশের দৈর্ঘ্য ৫/২ কি.মি., তাই আমরা এটিকে বর্গ করব:

(৫/২)² = (৫/২) * (৫/২) = ২৫/৪ = ৬.২৫ বর্গ কি.মি.

সুতরাং, মাঠের ক্ষেত্রফল ৬.২৫ বর্গ কি.মি.

উত্তর: ৬.২৫"
649,৫ বছর পূর্বে পিতা ও পুত্রের বয়সের অনুপাত ছিল ৩:১ এবং ১৫ বছর পর পিতা ও পুত্রের বয়সের অনুপাত হবে ২:১। পুত্রের বর্তমান বয়স _____ বছর।,২৫,"৫ বছর পূর্বে পিতা ও পুত্রের বয়সের অনুপাত ছিল ৩:১ ধরা যাক, ৫ বছর পূর্বে পিতার বয়স ৩x বছর এবং পুত্রের বয়স x বছর। 

বর্তমানে পিতার � bয়স (৩x + ৫) বছর এবং পুত্রের বয়স (x + ৫) বছর।

১৫ বছর পর পিতা ও পুত্রের বয়সের অনুপাত হবে ২:১

অর্থাৎ, (৩x + ৫ + ১৫) : (x + ৫ + ১৫) = ২ : ১
বা, (৩x + ২০) : (x + ২০) = ২ : ১
বা, (৩x + ২০) / (x + �!০) = ২/১
বা, ৩x + ২০ = ২ (x + ২০)
বা, ৩x + ২০ = ২x + ৪০
বা, ৩x - ২x = ৪০ - ২০
বা, x = ২০

পুত্রের বর্তমান বয়স (x + ৫) �"
466,একটি ছাগল ১০% ক্ষতিতে বিক্রয় করা হলো। বিক্রয়মূল্য ৪৫০ টাকা বেশি হলে ৫% লাভ হতো। ছাগলটির ক্রয়মূল্য _____ টাকা।,৩০০০,"ধরা যাক ছাগলটির ক্রয়মূল্য x টাকা।

যখন ছাগলটি 10% ক্ষতিতে বিক্রি করা হয়, তখন বিক্রয়মূল্য হয় 90% ক্রয়মূল্য। অর্থাৎ, বিক্রয়মূল্য = 0.9x।

যদি বিক্রয়মূল্য 450 টাকা বেশি হত, তাহলে 5% লাভ হত। তাই, বিক্রয়মূল্য হবে 105% ক্রয়মূল্য। অর্থাৎ, বিক্রয়মূল্য = 1.05x।

এখন, আমরা জানি যে বিক্রয়মূল্য 450 টাকা বেশি হলে 5% লাভ হত। তাই, আমরা সমীকরণ সেট আপ করতে পারি:

1.05x = 0.9x + 450

এখন, আমরা x এর জন্য সমাধান করতে পারি:

1.05x - 0.9x = 450
0.15x = 450
x = 450 / 0.15
x = 300"
620,একটি বর্গাকার ক্ষেত্রের এক বাহুর দৈর্ঘ্য ৩০০ মিটার এবং বাইরে চারদিকে ৪ মিটার চওড়া একটি রাস্তা আছে। রাস্তাটির ক্ষেত্রফল _____  বর্গমিটার।,৪৮৬৪,"আমাদের প্রথমে বর্গাকার ক্ষেত্রের মোট ক্ষেত্রফল বের করতে হবে যার মধ্যে রাস্তাটি অন্তর্ভুক্ত রয়েছে। বর্গক্ষেত্রের প্রতিটি বাহুর দৈর্ঘ্য ৩০০ মিটার এবং রাস্তাটি ৪ মিটার চওড়া, তাই রাস্তা সহ বর্গক্ষেত্রের মোট বাহুর দৈর্ঘ্য হল:

৩০০ মিটার + ৪ মিটার + ৪ মিটার = ৩০৮ মিটার

এখন, আমরা এই বর্গক্ষেত্রের ক্ষেত্রফল গণনা করতে পারি:

ক্ষেত্রফল = বাহুর দৈর্ঘ্য * বাহুর দৈর্ঘ্য
= ৩০৮ মিটার * ৩০৮ মিটার
= ৯৪৮৬৪ বর্গমিটার

এর পরে, আমরা বর্গক্ষেত্রের ক্ষেত্র"
91,একটি গাড়ি এক ঘণ্টায় ৪২.৮ কি.মি. যায়। তাহলে ১৫.৫ ঘণ্টায় গাড়িটি _____ কি.মি. যায়।,৬৬৩.৪০,"একটি গাড়ি এক ঘণ্টায় ৪২.৮ কি.মি. যায়। তাহলে ১৫.৫ ঘণ্টায় গাড়িটি কত কি.মি. যায় তা জানতে, আমরা প্রতি ঘণ্টায় গাড়ির গতি এবং মোট সময়কে গুণ করি।

১৫.৫ ঘণ্টায় গাড়ির দূরত্ব = ৪২.৮ কি.মি./ঘন্টা * ১৫.৫ ঘন্টা
= ৪২.৮ * ১৫.৫
= ৬৬৩ কি.মি.

অতএব, ১৫.৫ ঘণ্টায় গাড়িটি ৬৬৩ কি.মি. যায়।

উত্তর: ৬৬৩"
