Q No.,Question,Answer,Domain,Sub-Domain,Model Response
34,কোন সেটের সদস্য সংখ্যা ৩ হলে এর প্রকৃত উপসেট সংখ্যা কত?,৭,Math,Set Function,"ধরা যাক, একটি সেট A, যার সদস্য সংখ্যা n = 3।

আমরা জানি, কোনো সেটের উপসেট সংখ্যা 2^n। এখানে n = 3, তাই উপসেট সংখ্যা 2^3 = 8।

প্রকৃত উপসেট (Proper Subset) হলো সেইসব উপসেট, যেগুলো মূল সেটটি নিজে নয়। অর্থাৎ, কোনো সেট থেকে যদি আমরা সেই সেটটিকেই বাদ দেই, তাহলে যা থাকে তাই হলো প্রকৃত উপসেট।

সুতরাং, প্রকৃত উপসেট সংখ্যা হবে উপসেট সংখ্যা থেকে ১ কম।

অতএব, প্রকৃত উপসেট সংখ্যা = 2^3 - 1 = 8 - 1 = 7

উত্তর: ৭"
513,৫ গ্রাম হাইড্রোজেন গ্যাসকে ১.২৭ x ১০^২৪ টি ক্লোরিন পরমাণুর মধ্যে চালনা করা হলে এতে কত গ্রাম ক্লোরিন গ্যাস ছিল?,৭৫,Chemistry,Chemistry,"হাইড্রোজেন গ্যাসের সাথে ক্লোরিনের বিক্রিয়াটি নিম্নরূপ:

H₂ + Cl₂ → 2HCl

অর্থাৎ, 1 মোল হাইড্রোজেন গ্যাস 1 মোল ক্লোরিন গ্যাসের সাথে বিক্রিয়া করে।

প্রথমে, ৫ গ্রাম হাইড্রোজেন গ্যাসে কত মোল হাইড্রোজেন আছে, তা বের করতে হবে। হাইড্রোজেনের মোলার ভর (H₂) হল ২ গ্রাম/মোল।

সুতরাং, মোলের সংখ্যা = ভর / মোলার ভর = ৫ গ্রাম / ২ গ্রাম/মোল = ২.৫ মোল

যেহেতু ১ মোল হাইড্রোজেন, ১ মোল ক্লোরিনের সাথে বিক্রিয়া করে, তাই ২.৫ মোল হাইড্রোজেন, ২.৫ মোল ক্লোরিনের সাথে বিক্রিয়া করবে।

এখন, ১.২৭ x ১০^২৪ টি ক্লোরিন পরমাণু কত মোল ক্লোরিন (Cl₂) গ্যাস তৈরি করে তা বের করতে হবে।

আমরা জানি, অ্যাভোগাড্রো সংখ্যা (Nₐ) = ৬.০২২ x ১০^২৩ টি পরমাণু/মোল

১ মোল ক্লোরিন গ্যাসে (Cl₂) ২ x ৬.০২২ x ১০^২৩ টি ক্লোরিন পরমাণু থাকে।

সুতরাং, ১.২৭ x ১০^২৪ টি ক্লোরিন পরমাণু = (১.২৭ x ১০^২৪ ) / (২ x ৬.০২২ x ১০^২৩) মোল ক্লোরিন গ্যাস

= (১.২৭ x ১০^২৪) / (১.২044 x ১০^২৪) মোল

= ১.০544 মোল (প্রায়)

সুতরাং, ক্লোরিনের প্রয়োজনীয় মোল সংখ্যা = ১.০544 মোল

ক্লোরিনের মোলার ভর (Cl₂) = ২ x ৩৫.৫ = ৭১ গ্রাম/মোল

সুতরাং, প্রয়োজনীয় ক্লোরিন গ্যাসের ভর = মোলের সংখ্যা x মোলার ভর

= ১.০544 মোল x ৭১ গ্রাম/মোল = ৭৫.৮৬ ২৪ গ্রাম

সুতরাং, ক্লোরিন গ্যাসের ভর প্রায় ৭৫.৮৬ গ্রাম।

উত্তর: ৭৫.৮৬"
214,১ থেকে ১০ পর্যন্ত ক্রমিক নম্বর দেওয়া টিকেটগুলো ভালোভাবে মিশিয়ে একটি টিকেট দৈবভাবে নিলে টিকেটটি ২ অথবা ৩ এর গুণিতক হওয়ার সম্ভাবনা কত?,৭/১০,Math,Probability,"১ থেকে ১০ পর্যন্ত সংখ্যাগুলো হলো: ১, ২, ৩, ৪, ৫, ৬, ৭, ৮, ৯, ১০।

২ এর গুণিতক সংখ্যাগুলো হলো: ২, ৪, ৬, ৮, ১০। অর্থাৎ ৫টি সংখ্যা।
৩ এর গুণিতক সংখ্যাগুলো হলো: ৩, ৬, ৯। অর্থাৎ ৩টি সংখ্যা।

এখানে, ৬ সংখ্যাটি ২ এর গুণিতক এবং ৩ এরও গুণিতক। তাই, ২ এর গুণিতক এবং ৩ এর গুণিতকগুলোর মধ্যে ৬ সংখ্যাটি দুইবার গণনা করা হয়েছে।

সুতরাং, ২ অথবা ৩ এর গুণিতক সংখ্যাগুলো হলো: ২, ৩, ৪, ৬, ৮, ৯, ১০। এখানে মোট ৭টি সংখ্যা আছে।

মোট সংখ্যা ১০টি এবং ২ অথবা ৩ এর গুণিতক ৭টি।

সুতরাং, টিকেটটি ২ অথবা ৩ এর গুণিতক হওয়ার সম্ভাবনা = (২ অথবা ৩ এর গুণিতক সংখ্যাগুলোর সংখ্যা) / (মোট সংখ্যা) = ৭/১০

অতএব, নির্ণেয় সম্ভাবনা ৭/১০।

উত্তর: ৭/১০"
256,দুইটি মুদ্রা একসাথে নিক্ষেপ করা হলে বড়জোর একটি হেড পাওয়ার সম্ভাবনা কত?,৩/৪,Math,Probability,"দুইটি মুদ্রা একসাথে নিক্ষেপ করা হলে সম্ভাব্য ফলাফলগুলো হলো:
১. হেড, হেড (HH)
২. হেড, টেইল (HT)
৩. টেইল, হেড (TH)
৪. টেইল, টেইল (TT)

এখানে, মোট চারটি সম্ভাব্য ফলাফল আছে।

আমাদের বের করতে হবে বড়জোর একটি হেড পাওয়ার সম্ভাবনা। এর মানে হলো আমরা একটি হেড অথবা কোনো হেড না পাওয়ার ঘটনাগুলো বিবেচনা করবো।

১. একটি হেড: HT এবং TH - এই দুইটি ক্ষেত্রে একটি করে হেড আছে।
২. কোনো হেড নেই: TT - এই ক্ষেত্রে কোনো হেড নেই।

সুতরাং, অনুকূল ফলাফল হলো HT, TH, এবং TT। তার মানে তিনটি অনুকূল ফলাফল আছে।

সম্ভাবনা = (অনুকূল ফলাফল সংখ্যা) / (মোট সম্ভাব্য ফলাফল সংখ্যা) = 3/4

অতএব, বড়জোর একটি হেড পাওয়ার সম্ভাবনা 3/4।

দশমিক আকারে প্রকাশ করলে, 3/4 = 0.75

উত্তর: 0.75"
563,১৭.৭৫ গ্রাম সোডিয়াম সালফেট ৪৫০ মিলি দ্রবণে দ্রবীভূত থাকলে দ্রবণের ঘনমত্রা কত?,০.২৭,Chemistry,Chemistry,"সোডিয়াম সালফেটের আণবিক ভর নির্ণয় করা যাক:
সোডিয়ামের (Na) পারমাণবিক ভর = ২৩
সালফারের (S) পারমাণবিক ভর = ৩২
অক্সিজেনের (O) পারমাণবিক ভর = ১৬

সোডিয়াম সালফেট (Na₂SO₄) এর আণবিক ভর = (২ × ২৩) + ৩২ + (৪ × ১৬) = ৪৬ + ৩২ + ৬৪ = ১৪২ গ্রাম/মোল

প্রশ্নে প্রদত্ত, সোডিয়াম সালফেটের ভর = ১৭.৭৫ গ্রাম
সুতরাং, মোল সংখ্যা = ভর / আণবিক ভর = ১৭.৭৫ / ১৪২ = ০.১২৫ মোল

দ্রবণের আয়তন = ৪৫০ মিলি = ৪৫০ / ১০০০ লিটার = ০.৪৫০ লিটার

ঘনমাত্রা (Molarity) = মোল সংখ্যা / দ্রবণের আয়তন (লিটারে) = ০.১২৫ / ০.৪৫০ = ০.২৭৭৭...

অতএব, দ্রবণের ঘনমাত্রা প্রায় ০.২৭৮ মোল/লিটার

উত্তর: ০.২৭৮"
69,একটি গরুকে রশি দিয়ে এমনভাবে বাঁধা হল যেন গরুটি ১৪৪ বর্গ মি বৃত্তাকার মাঠের ঘাস খেতে পারে। মাঠের ব্যাস কত মিটার?,১৩.৫৪,Math,Trigonometry,"যেহেতু গরুটি একটি বৃত্তাকার মাঠের ঘাস খেতে পারে, তাই রশিটি বৃত্তের ব্যাসার্ধ (radius) হিসেবে কাজ করবে। বৃত্তের ক্ষেত্রফল ১৪৪ বর্গমিটার দেওয়া আছে।

বৃত্তের ক্ষেত্রফল = πr²

যেখানে,
π (পাই) = ৩.১৪১৫৯ (প্রায়)
r = ব্যাসার্ধ

প্রশ্নানুসারে, πr² = ১৪৪

সুতরাং, r² = ১৪৪ / π
r² = ১৪৪ / ৩.১৪১৫৯
r² = ৪৫.৮৩৬৬

r = √৪৫.৮৩৬৬
r = ৬.৭৭১ (প্রায়)

অতএব, বৃত্তের ব্যাসার্ধ ৬.৭৭১ মিটার (প্রায়)।

বৃত্তের ব্যাস (diameter), d = 2r = ২ * ৬.৭৭১ = ১৩.৫৪ মিটার (প্রায়)।

সুতরাং, মাঠের ব্যাস ১৩.৫৪ মিটার।

উত্তর: ১৩.৫৪"
78,একটি বৃত্তের ব্যাস ৫ সে.মি.। বৃত্তে ১৫ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত রেডিয়ান?,৬,Math,Trigonometry,"আমরা জানি, বৃত্তের ব্যাসার্ধ (r) = ব্যাস / 2
সুতরাং, r = 5 সে.মি. / 2 = 2.5 সে.মি.

বৃত্তের চাপ (s) = 15 সে.মি.

আমরা জানি, চাপ = ব্যাসার্ধ × কেন্দ্রস্থ কোণ (রেডিয়ানে)
অর্থাৎ, s = rθ, যেখানে θ হলো কেন্দ্রস্থ কোণ রেডিয়ানে।

সুতরাং, θ = s / r = 15 সে.মি. / 2.5 সে.মি. = 6

অতএব, কেন্দ্রস্থ কোণের পরিমাণ 6 রেডিয়ান।

উত্তর: 6"
62,"একটি চাকা ৩.২৫ কি.মি. পথ যেতে ২৫ বার ঘুরে, চাকাটির ব্যাস কত মিটার?",৪১.৩৮,Math,Trigonometry,"এখানে, চাকাটি ৩.২৫ কি.মি. পথ ২৫ বার ঘুরে অতিক্রম করে।

প্রথমত, ৩.২৫ কি.মি.-কে মিটারে পরিবর্তন করতে হবে। আমরা জানি, ১ কি.মি. = ১০০০ মিটার। সুতরাং, ৩.২৫ কি.মি. = ৩.২৫ * ১০০০ = ৩২৫০ মিটার।

যেহেতু চাকাটি ২৫ বার ঘুরে ৩২৫০ মিটার যায়, তাই একবার ঘুরলে যায় ৩২৫০/২৫ = ১৩০ মিটার।

চাকা একবার ঘুরলে তার পরিধির সমান দূরত্ব অতিক্রম করে। সুতরাং, চাকাটির পরিধি ১৩০ মিটার।

আমরা জানি, পরিধি = π * ব্যাস। সুতরাং, ব্যাস = পরিধি / π

অতএব, ব্যাস = ১৩০ / π মিটার। π এর মান ৩.১৪১৫৯ ধরা হলে,

ব্যাস = ১৩০ / ৩.১৪১৫৯ = ৪১. ৪০৭ মিটার (প্রায়)।

উত্তর: ৪১.৪০৭"
6,দশমিক সংখ্যা ২৫ এর বাইনারি কত?,১১০০১,CS,CS,"দশমিক সংখ্যা ২৫-এর বাইনারি বের করার জন্য, আমরা ভাগফল এবং ভাগশেষের মাধ্যমে ক্রমাগত ২ দিয়ে ভাগ করে বাইনারি সংখ্যাটি নির্ণয় করতে পারি:

১. ২৫ কে ২ দিয়ে ভাগ করলে ভাগফল ১২ এবং ভাগশেষ ১ থাকে।
২. ১২ কে ২ দিয়ে ভাগ করলে ভাগফল ৬ এবং ভাগশেষ ০ থাকে।
৩. ৬ কে ২ দিয়ে ভাগ করলে ভাগফল ৩ এবং ভাগশেষ ০ থাকে।
৪. ৩ কে ২ দিয়ে ভাগ করলে ভাগফল ১ এবং ভাগশেষ ১ থাকে।
৫. ১ কে ২ দিয়ে ভাগ করলে ভাগফল ০ এবং ভাগশেষ ১ থাকে।

সুতরাং, ভাগশেষগুলোকে নিচ থেকে উপরের দিকে সাজালে বাইনারি সংখ্যাটি হবে ১১০০১।

উত্তর: ১১০০১"
528,তুঁতের এক অণুতে যুক্ত পানির ভর কত?,৯০,Chemistry,Chemistry,"তুঁতের এক অণুতে যুক্ত পানির ভর বের করতে হলে, প্রথমে তুঁতের রাসায়নিক সংকেত জানতে হবে। তুঁতের রাসায়নিক সংকেত হল CuSO₄.5H₂O। এর মানে, কপার সালফেট (CuSO₄) এর একটি অণুর সাথে ৫টি পানির অণু (5H₂O) যুক্ত থাকে।

১টি পানির (H₂O) আণবিক ভর = (২ x ১) + ১৬ = ১৮ amu (atomic mass unit)

সুতরাং, ৫টি পানির অণুর ভর = ৫ x ১৮ = ৯০ amu

অতএব, তুঁতের এক অণুতে যুক্ত পানির ভর ৯০ amu।

উত্তর: ৯০"
