Q No.,Question,Answer,Model Response
32,"একটি সিনেমা থিয়েটার প্রাপ্তবয়স্কদের জন্য ৭.৫০ টাকা এবং শিশুদের জন্য ৪.৫০ টাকা চার্জ করে। একটি সিনেমা দেখানোর রসিদ ছিল ৫৪০ টাকা। যদি ৮০  টি টিকিট বিক্রি হয়, তাহলে _____ টি প্রাপ্তবয়স্ক টিকিট বিক্রি হয়েছে।",৬০,"ধরি, বিক্রি হওয়া প্রাপ্তবয়স্ক টিকিটের সংখ্যা x এবং শিশুদের টিকিটের সংখ্যা y।

আমাদের দেওয়া আছে,
প্রাপ্তবয়স্কদের টিকিটের মূল্য = ৭.৫০ টাকা
শিশুদের টিকিটের মূল্য = ৪.৫০ টাকা
মোট টিকিটের সংখ্যা = ৮০
মোট টাকার পরিমাণ = ৫৪০ টাকা

আমরা নিম্নলিখিত সমীকরণগুলি তৈরি করতে পারি:
x + y = ৮০  ----(১)
৭.৫০x + ৪.৫০y = ৫৪০ ----(২)

এখন, আমরা প্রথম সমীকরণ থেকে y এর মান বের করে দ্বিতীয় সমীকরণে বসাবো।
y = ৮০ - x

y এর মান দ্বিতীয় সমীকরণে বসিয়ে পাই,
৭.৫০x + ৪.৫০(৮০ - x) = ৫৪০
=> ৭.৫০x + ৩৬০ - ৪.৫০x = ৫৪০
=> ৩x = ৫৪০ - ৩৬০
=> ৩x = ১৮০
=> x = ১৮০/৩
=> x = ৬০

অতএব, বিক্রি হওয়া প্রাপ্তবয়স্ক টিকিটের সংখ্যা ৬০।

y = ৮০ - x = ৮০ - ৬০ = ২০

সুতরাং, প্রাপ্তবয়স্কদের টিকিট বিক্রি হয়েছে ৬০টি এবং শিশুদের টিকিট বিক্রি হয়েছে ২০টি।

উত্তর: ৬০"
105,সীতা অপেক্ষা রায়হানের ৩৯০ টাকা বেশি আছে। শিমুল অপেক্ষা সীতার ৪৭০ টাকা কম আছে। শিমুলের কাছে ৮৯০ টাকা আছে। সীতার কাছে  _____ টাকা আছে।,৪২০,"এখানে, শিমুলের টাকার পরিমাণ থেকে সীতার টাকার পরিমাণ বের করতে হবে।

শিমুলের আছে ৮৯০ টাকা।
সীতার আছে শিমুলের থেকে ৪৭০ টাকা কম।
সুতরাং, সীতার টাকার পরিমাণ = শিমুলের টাকার পরিমাণ - ৪৭০ টাকা
= ৮৯০ - ৪৭০
= ৪২০ টাকা

অতএব, সীতার কাছে ৪২০ টাকা আছে।

উত্তর: ৪২০"
159,বকুলতলার একটি কারখানায় গতবছরে ৭৫২১২০০ টাকা আয় হয়েছিল। এবছর আরও ৩২৫০৩২৫ টাকা আয় হলে দু-বছরে মোট _____ টাকা আয় হলো।,১০৭৭১৫২৫,"এবছর বকুলতলা কারখানার আয় = ৩২৫০৩২৫ টাকা

গতবছর বকুলতলা কারখানার আয় ছিল = ৭৫২১২০০ টাকা

সুতরাং, দু-বছরে মোট আয় হলো = গতবছরের আয় + এবছরের আয়

= ৭৫২১২০০ + ৩২৫০৩২৫

= ১০৭৭১৫২৫ টাকা

অতএব, দু-বছরে বকুলতলা কারখানার মোট ১০৭৭১৫২৫ টাকা আয় হলো।

উত্তর: ১০৭৭১৫২৫"
154,একটি মেলায় ১২টি জেনারেটর দৈনিক ৬ ঘণ্টা চালালে ৭ দিনে মজুত তেল খরচ হয়। দৈনিক ৪ ঘণ্টা চালালে ৯ দিনে ওই মজুত তেলে _____  টি জেনারেটর চালানো যাবে।,১৪,"প্রথমে, আমাদের বের করতে হবে মোট কত জেনারেটর-ঘণ্টা তেল খরচ হয়।

১২টি জেনারেটর দৈনিক ৬ ঘণ্টা করে ৭ দিন চললে, মোট জেনারেটর-ঘণ্টা = 12 * 6 * 7 = 504 জেনারেটর-ঘণ্টা।

এখন, একই পরিমাণ তেলে দৈনিক ৪ ঘণ্টা করে ৯ দিনে কতগুলি জেনারেটর চালানো যাবে, তা বের করতে হবে।

ধরি, x সংখ্যক জেনারেটর চালানো যাবে। তাহলে, x * 4 * 9 = 504

সুতরাং, x = 504 / (4 * 9) = 504 / 36 = 14

অতএব, দৈনিক ৪ ঘণ্টা চালালে ৯ দিনে ওই মজুত তেলে ১৪টি জেনারেটর চালানো যাবে।

উত্তর: ১৪"
203,৫৫ মিটার লম্বা বাঁশের ১১ মিটার কাদা ও জলের নীচে আছে। বাঁশটির শতকরা _____ ভাগ কাদা ও জলের উপরে আছে ।,৮০,"প্রথমে, বাঁশটির কত অংশ কাদা ও জলের উপরে আছে, তা বের করতে হবে।

বাঁশের মোট দৈর্ঘ্য ৫৫ মিটার এবং কাদা ও জলের নিচে আছে ১১ মিটার। সুতরাং, কাদা ও জলের উপরে আছে (৫৫ - ১১) = ৪৪ মিটার।

এখন, বাঁশটির শতকরা কত ভাগ কাদা ও জলের উপরে আছে, তা বের করতে হবে।

শতকরা হিসাব বের করার নিয়ম: (কাদা ও জলের উপরের অংশের দৈর্ঘ্য / বাঁশের মোট দৈর্ঘ্য) * ১০০

= (৪৪ / ৫৫) * ১০০
= ০.৮ * ১০০
= ৮০

সুতরাং, বাঁশটির শতকরা ৮০ ভাগ কাদা ও জলের উপরে আছে।

উত্তর: ৮০"
374,"সাজ্জাদ সাহেবের ২৪,০০০ টাকা ছিল। তিনি এই টাকার ৫/১২ অংশ এতিমখানায়, ৩/৮ অংশ শিক্ষা প্রতিষ্ঠানে দান করলেন। তার কাছে _____ টাকা বাকি আছে। ",৫০০০,"সাজ্জাদ সাহেবের মোট টাকা ছিল ২৪,০০০ টাকা।

তিনি এতিমখানায় দান করেছেন ২৪,০০০ টাকার ৫/১২ অংশ।
এতিমখানায় দানের পরিমাণ = ২৪,০০০ * (৫/১২) = ১০,০০০ টাকা।

তিনি শিক্ষা প্রতিষ্ঠানে দান করেছেন ২৪,০০০ টাকার ৩/৮ অংশ।
শিক্ষা প্রতিষ্ঠানে দানের পরিমাণ = ২৪,০০০ * (৩/৮) = ৯,০০০ টাকা।

মোট দানের পরিমাণ = ১০,০০০ + ৯,০০০ = ১৯,০০০ টাকা।

সাজ্জাদ সাহেবের কাছে বাকি আছে = মোট টাকা - মোট দানের পরিমাণ
= ২৪,০০০ - ১৯,০০০ = ৫,০০০ টাকা।

উত্তর: ৫০০০"
506,একটি আয়তাকার ঘরের পরিসীমা একটি বর্গাকার পরীসীমার সমান। আয়তাকার ঘরের দৈর্ঘ্য প্রস্থের ৩ গুণ। প্রতি বর্গমিটারে ৭৫ টাকা দরে ঘরের মেঝে কার্পেট দিয়ে মুড়তে মোট ১১০২৫ টাকা ব্যয় হয়। আয়তাকার ঘরটির দৈর্ঘ্য _____ মিটার।,২১,"ধাপ ১: প্রথমে, আয়তাকার ঘরের ক্ষেত্রফল নির্ণয় করি। কার্পেট মোড়ার মোট খরচ এবং প্রতি বর্গমিটারের খরচ থেকে ক্ষেত্রফল বের করা যায়।

মোট ক্ষেত্রফল = মোট খরচ / প্রতি বর্গমিটারের খরচ
মোট ক্ষেত্রফল = ১১০২৫ / ৭৫ = ১৪৭ বর্গমিটার

সুতরাং, আয়তাকার ঘরের ক্ষেত্রফল ১৪৭ বর্গমিটার।

ধাপ ২: এখন, আয়তাকার ঘরের দৈর্ঘ্য এবং প্রস্থের মধ্যে সম্পর্ক দেওয়া আছে: দৈর্ঘ্য প্রস্থের ৩ গুণ।

ধরি, প্রস্থ = x মিটার
তাহলে, দৈর্ঘ্য = 3x মিটার

ক্ষেত্রফল = দৈর্ঘ্য * প্রস্থ
১৪৭ = 3x * x
১৪৭ = 3x^2
x^2 = ১৪৭ / ৩ = ৪৯
x = √৪৯ = ৭ মিটার

সুতরাং, প্রস্থ = ৭ মিটার এবং দৈর্ঘ্য = ৩ * ৭ = ২১ মিটার।

ধাপ ৩: আয়তাকার ঘরের পরিসীমা নির্ণয় করি।
পরিসীমা = ২ * (দৈর্ঘ্য + প্রস্থ) = ২ * (২১ + ৭) = ২ * ২৮ = ৫৬ মিটার

ধাপ ৪: বর্গাকার ক্ষেত্রের পরিসীমা আয়তাকার ক্ষেত্রের পরিসীমার সমান। সুতরাং, বর্গক্ষেত্রের পরিসীমা ৫৬ মিটার।

ধরি, বর্গক্ষেত্রের বাহুর দৈর্ঘ্য = a মিটার
বর্গক্ষেত্রের পরিসীমা = ৪a
অতএব, ৪a = ৫৬
a = ৫৬ / ৪ = ১৪ মিটার

সুতরাং, বর্গক্ষেত্রের বাহুর দৈর্ঘ্য ১৪ মিটার।

আয়তাকার ঘরটির দৈর্ঘ্য ২১ মিটার।

উত্তর: ২১"
127,"যদুনাথ বিদ্যামন্দির স্কুলের ষষ্ঠ শ্রেণির ছাত্রছাত্রীদের, স্কুলের বাগানে লাগানোর জন্য পঞ্চায়েত থেকে ফুলগাছের চারা পাঠিয়েছে। হিসাব করে দেখা গেল চারাগুলিকে ২০টি, ২৪টি বা ৩০ টি সারিতে লাগালে প্রতিক্ষেত্রে প্রতিসারিতে সমান চারা থাকে। পঞ্চায়েত থেকে কমপক্ষে _____ টি চারা পাঠিয়েছিল।",১২০,"সমস্যাটি হলো, পঞ্চায়েত থেকে পাঠানো চারাগাছগুলোকে ২০, ২৪ অথবা ৩০টি সারিতে লাগালে প্রতি ক্ষেত্রে সমান সংখ্যক চারা থাকে। এর মানে হলো চারাগাছের সংখ্যা ২০, ২৪ এবং ৩০ এর দ্বারা বিভাজ্য। তাই, চারাগাছের সম্ভাব্য সংখ্যা জানতে হলে ২০, ২৪ এবং ৩০ এর ল.সা.গু (LCM) বের করতে হবে।

২০, ২৪ এবং ৩০ এর ল.সা.গু নির্ণয়:

প্রথমে, সংখ্যাগুলোকে মৌলিক উৎপাদকে বিশ্লেষণ করি:
২০ = ২ x ২ x ৫ = ২^২ x ৫
২৪ = ২ x ২ x ২ x ৩ = ২^৩ x ৩
৩০ = ২ x ৩ x ৫

এখন, ল.সা.গু বের করার জন্য, প্রতিটি মৌলিক উৎপাদকের সর্বোচ্চ ঘাত নিতে হবে:
২ এর সর্বোচ্চ ঘাত: ২^৩
৩ এর সর্বোচ্চ ঘাত: ৩^১
৫ এর সর্বোচ্চ ঘাত: ৫^১

সুতরাং, ল.সা.গু = ২^৩ x ৩ x ৫ = ৮ x ৩ x ৫ = ১২০

অতএব, পঞ্চায়েত থেকে কমপক্ষে ১২০টি চারা পাঠিয়েছিল।

উত্তর: ১২০"
224,"আমার কাছে ২২ মিটার লম্বা হলুদ ফিতে, ২৪.৭৫ মিটার লম্বা সবুজ ফিতে ও ১৬.৫০ মিটার লম্বা কমলা ফিতে আছে। এই তিনটি রঙের ফিতে থেকে সবচেয়ে বড়ো মাপের টুকরো কাটতে চাই যাতে প্রত্যেক রঙের ফিতে থেকে, সমান দৈর্ঘ্যের কয়েকটি টুকরো পাই এবং কোনো ফিতে নষ্ট না হয়। ওই সমান দৈর্ঘ্যের ফিতেটি _____ মিটার লম্বা হবে।",২.৭৫,"এখানে আমাদের তিনটি ফিতের দৈর্ঘ্য দেওয়া আছে:
হলুদ ফিতে: ২২ মিটার
সবুজ ফিতে: ২৪.৭৫ মিটার
কমলা ফিতে: ১৬.৫০ মিটার

আমাদের এমন একটি দৈর্ঘ্য নির্ণয় করতে হবে যা দিয়ে এই তিনটি দৈর্ঘ্যকে সম্পূর্ণরূপে ভাগ করা যায় এবং সেই দৈর্ঘ্যটি সবচেয়ে বড়ো হতে হবে। অর্থাৎ, আমাদের এই তিনটি সংখ্যার গরিষ্ঠ সাধারণ গুণনীয়ক (GCF) নির্ণয় করতে হবে।

প্রথমে, সংখ্যাগুলোকে দশমিকে না রেখে ভগ্নাংশে পরিণত করি।
হলুদ ফিতে: ২২ মিটার
সবুজ ফিতে: ২৪.৭৫ = ২৪ + ০.৭৫ = ২৪ + ৩/৪ = ৯৯/৪ মিটার
কমলা ফিতে: ১৬.৫০ = ১৬ + ০.৫০ = ১৬ + ১/২ = ৩৩/২ মিটার

এখন, ভগ্নাংশের গরিষ্ঠ সাধারণ গুণনীয়ক নির্ণয়ের জন্য, আমরা লবগুলোর গরিষ্ঠ সাধারণ গুণনীয়ক নির্ণয় করব এবং হরগুলোর লঘিষ্ঠ সাধারণ গুণিতক নির্ণয় করব। তারপর, লবের গরিষ্ঠ সাধারণ গুণনীয়ককে হরের লঘিষ্ঠ সাধারণ গুণিতক দিয়ে ভাগ করব।

লবগুলো হলো: ২২, ৯৯, ৩৩
এইগুলোর গরিষ্ঠ সাধারণ গুণনীয়ক (GCF) হলো: ১১

হরগুলো হলো: ১, ৪, ২
এইগুলোর লঘিষ্ঠ সাধারণ গুণিতক (LCM) হলো: ৪

সুতরাং, গরিষ্ঠ সাধারণ গুণনীয়ক = ১১/৪ = ২.৭৫

অতএব, সমান দৈর্ঘ্যের ফিতেটি ২.৭৫ মিটার লম্বা হবে।

উত্তর: ২.৭৫"
99,"আব্দুল্লাহ ১ মিটার লম্বা একটি রেখা আঁকেন। তারপর তিনি বুঝতে পারলেন যে এটি কিছুটা দীর্ঘ। সুতরাং, তিনি এটির ২২ সেন্টিমিটার মুছে ফেলেছেন। ফলে রেখার দৈর্ঘ্য  এখন _____ সে.মি.।",৭৮,"আব্দুল্লাহ প্রথমে ১ মিটার দৈর্ঘ্যের একটি রেখা আঁকেন। আমরা জানি, ১ মিটার = ১০০ সেন্টিমিটার।

পরে তিনি ২২ সেন্টিমিটার মুছে ফেলেন।

সুতরাং, রেখার বর্তমান দৈর্ঘ্য = (১০০ - ২২) সেন্টিমিটার = ৭৮ সেন্টিমিটার।

উত্তর: ৭৮"
