Q No.,Question,Answer,Model Response
112,"আমার কাছে একটি বড়ো চকোলেট আছে। আমি সেই চকোলেটকে সমান ৮টি টুকরো করে তার ৩টি টুকরো বোনকে, ২টি টুকরো ভাইকে দিলাম ও বাকি টুকরোগুলি নিজে খেলাম। আমি চকোলেটের কত অংশ পেলাম দেখি। ",৩/৮,"প্রথমে দেখা যাক পুরো চকোলেটকে কত টুকরো করা হয়েছে। পুরো চকোলেটটি সমান ৮টি টুকরো করা হয়েছে।

এরপর, আমরা জানি আপনি মোট ৩টি টুকরো বোনকে দিয়েছেন এবং ২টি টুকরো ভাইকে দিয়েছেন। তাহলে আপনি মোট (৩ + ২) = ৫টি টুকরো দিয়েছেন।

এখন দেখা যাক আপনার কাছে কতগুলো টুকরো অবশিষ্ট রয়েছে: ৮ - ৫ = ৩টি টুকরো।

অতএব, সম্পূর্ণ চকোলেটের মধ্যে ৩টি টুকরো আপনি নিজে খেয়েছেন। সেই হিসাবে বলতে গেলে, আপনি পুরো চকোলেটের $\frac{৩}{৮}$ অংশ খেয়েছেন।

**উত্তর: $\frac{৩}{৮}$**"
186,আজ আমাদের ক্লাসে ৭ জন ছাত্রছাত্রী অনুপস্থিত। ক্লাসে মোট ছাত্রছাত্রী ৩৫ জন। আজ মোট ছাত্রছাত্রীর শতকরা কতজন স্কুলে এসেছে হিসাব করি।,৮০,"প্রথমে আমরা জানতে চাই আজকে কত জন ছাত্রছাত্রী স্কুলে উপস্থিত ছিল। 

ধরি, মোট ছাত্রছাত্রীর সংখ্যা \( T = 35 \)।

ক্লাসে উপস্থিত ছাত্রছাত্রীর সংখ্যা হবে \( 35 - 7 = 28 \)।

এখন আমরা স্কুলে উপস্থিত ছাত্রছাত্রীর শতকরা হার বের করতে চাই। 

এটা গণনা করা যেতে পারে:

\[
\left(\frac{\text{উপস্থিত ছাত্রছাত্রী সংখ্যা}}{\text{মোট ছাত্রছাত্রী সংখ্যা}}\right) \times 100
\]

অতএব, 

\[
\left(\frac{28}{35}\right) \times 100 
\]

প্রথমে ভগ্নাংশকে সরল করি:

\[
\frac{28}{35} = \frac{4}{5}
\]

অতএব, 

\[
\left(\frac{4}{5}\right) \times 100 = 80
\]

সুতরাং, যে ছাত্রছাত্রীরা স্কুলে এসেছে তাদের শতকরা হার ৮০%।

**উত্তর: ৮০**"
440,"৯৬০০ টাকা সারা, মাইমুনা ও রাইসার মধ্যে ৪:৩:১ অনুপাতে ভাগ করে দিলে মাইমুনা কত টাকা পাবে ?",৩৬০০,"সারা, মাইমুনা এবং রাইসার মধ্যে ৯৬০০ টাকা ৪:৩:১ অনুপাতে ভাগ করা হয়েছে। আমরা প্রথমে তাদের প্রত্যেকের অংশ বর্ণনা করে অনুপাতগুলো যোগ করব।

অনুপাতের যোগফল = ৪ + ৩ + ১ = ৮

এখন, পুরো ৯৬০০ টাকা এই ৮ অনুপাতে ভাগ করা হবে। প্রথমে আমরা ১ অনুপাতে কত টাকা তা নির্ণয় করব:

১ অংশ = ৯৬০০ / ৮ = ১২০০ টাকা

মাইমুনার অনুপাত হচ্ছে ৩, সুতরাং মাইমুনা যে পরিমাণ টাকা পাবে তা হবে:

মাইমুনার টাকা = ৩ × ১২০০ = ৩৬০০ টাকা

অর্থাৎ, মাইমুনা মোট ৩৬০০ টাকা পাবে।

**উত্তর: ৩৬০০**"
10,"একটি পূর্ণসংখ্যা অন্যটির দ্বিগুণ, এবং তাদের যোগফল হল ৯৬। বড় পূর্ণসংখ্যাটি খুঁজুন।",৬৪,"ধরি, ছোট পূর্ণসংখ্যাটি হলো \( x \)। 

তাহলে, বড় পূর্ণসংখ্যাটি হবে \( 2x \) (কারণ বড় সংখ্যাটি ছোট সংখ্যাটির দ্বিগুণ)।

দেওয়া আছে, দুই সংখ্যা যোগ করলে ৯৬ হয়:
\[ x + 2x = 96 \]

এখন সরল করি ধাপগুলি:
\[ 3x = 96 \]

এখন উভয় পাশে ৩ দিয়ে ভাগ করি:
\[ x = \frac{96}{3} = 32 \]

ছোট সংখ্যাটি হলো ৩২। বড় সংখ্যাটি ছোট সংখ্যাটির দ্বিগুণ, অর্থাৎ:
\[ 2x = 2 \times 32 = 64 \]

অতএব, বড় পূর্ণসংখ্যাটি হলো ৬৪।

**""উত্তর: 64""**"
31,১৮টি ডিমের দাম ৭২ টাকা। এরূপ ১৫টি ডিম ক্রয় করতে কত টাকার প্রয়োজন?,৬০,"দেওয়া আছে যে ১৮টি ডিমের দাম ৭২ টাকা। তাহলে ১টি ডিমের দাম হবে:

\[ \text{১ ডিমের দাম} = \frac{৭২ \text{ টাকা}}{১৮} = ৪ \text{ টাকা} \]

এখন, ১৫টি ডিমের দাম হবে:

\[ \text{১৫ ডিমের দাম} = ১৫ \times ৪ = ৬০ \text{ টাকা} \]

সুতরাং, ১৫টি ডিম ক্রয় করতে ৬০ টাকার প্রয়োজন।

**উত্তর: ৬০**"
317,৬৫১২০১ থেকে কোন ক্ষুদ্রতম সংখ্যা বিয়োগ করলে বিয়োগফল একটি পূর্ণবর্গসংখ্যা হবে ?,১৫৬৫,"৬৫১২০১ থেকে কোন ক্ষুদ্রতম সংখ্যা বিয়োগ করলে বিয়োগফল একটি পূর্ণবর্গসংখ্যা হবে তা বের করতে, আমরা প্রথমে ৬৫১২০১-এর সবচেয়ে কাছাকাছি বড় পূর্ণবর্গ সংখ্যা খুঁজে বের করব।

প্রথমে, আমরা √৬৫১২০১ হিসাব করব:

\[
\sqrt{651201} \approx 807
\]

এই হিসাবে প্রমাণ করে যে ৮০৭ এর বর্গফল ৬৫১২০১ এর কাছাকাছি। কিন্তু, ৮০৭² হিসাব করলে:

\[
807^2 = 651249
\]

এখন, যদি আমরা দেখি ৮০৬ এর বর্গফল:

\[
806^2 = 649636
\]

৬৫১২০১ থেকে ৬৫১২৪৯ বিয়োগ করলে আমরা পূর্ণবর্গ সংখ্যা পাব কারণ ৬৫১২৪৯, ৮০৭ এর বর্গফল।

তাহলে ক্ষুদ্রতম সংখ্যা যা ৬৫১২০১ থেকে বিয়োগ করতে হবে তা হলো:

\[
651201 - 651249 = -48
\]

এজন্য ৪৮ হলো ক্ষুদ্রতম সংখ্যা যেটা ৬৫১২০১ থেকে বিয়োগ করতে হবে যাতে পেতে একটি পূর্ণবর্গ সংখ্যা। সুতরাং, উত্তরের নেগেটিভ সাইনকে সরিয়ে আমরা বলব:

**""উত্তর: ৪৮""**"
6,ছোট সংখ্যাটি খুঁজুন যার যোগফল ১৪৭ এবং একটি অন্যটির ০.৩৭৫ গুন থেকে ৪ বড়।,৪৩,"ধরি, দুই সংখ্যার একটি সংখ্যা হলো \( x \), এবং অন্যটি হলো \( y \)।

সমস্যাটি থেকে নিম্নলিখিত দুটি সমীকরণ পাওয়া যায়:

১) \( x + y = 147 \)  
২) \( x = 0.375y + 4 \)

এখন, দ্বিতীয় সমীকরণটি ব্যবহার করে \( x \) এর মান \( y \) এর মান দিয়ে লেখা যাক:

\( x = 0.375y + 4 \)

এই \( x \) এর মান প্রথম সমীকরণে প্রতিস্থাপন করি:

\( 0.375y + 4 + y = 147 \)

\( 1.375y + 4 = 147 \)

এখন, উভয় পাশে থেকে ৪ বিয়োগ করি:

\( 1.375y = 143 \)

\( y \) এর মান পেতে উভয় পাশে \( 1.375 \) দিয়ে ভাগ করি:

\( y = \frac{143}{1.375} \)

\( y = 104 \)

এখন \( x \) এর মান খুঁজে পাই:

\( x = 0.375 \times 104 + 4 \)

\( x = 39 + 4 \)

\( x = 43 \)

সুতরাং, ছোট সংখ্যা হলো \( x = 43 \)।

**উত্তর: 43**"
428,"২১৬০ টাকা রূমি, জেসমিন ও কাকলির মধ্যে ১ : ২ : ৩ অনুপাতে ভাগ করে দিলে রূমি কত টাকা পাবে ?",৩৬০,"রূমি, জেসমিন ও কাকলির মধ্যে টাকার অনুপাত ১ : ২ : ৩। এই অনুপাতের মানে হল রূমির ১ অংশ, জেসমিনের ২ অংশ এবং কাকলির ৩ অংশ। মোট অংশ সংখ্যা হবে:

\[ 1 + 2 + 3 = 6 \]

এখন, মোট টাকার পরিমাণ ২১৬০ টাকা। আমরা প্রতিটি অংশের মূল্য নির্ণয় করব:

প্রতিটি অংশের মূল্য = মোট টাকা ÷ মোট অংশ সংখ্যা

\[ \text{প্রতিটি অংশের মূল্য} = \frac{2160}{6} = 360 \]

পরবর্তীতে, রূমির প্রাপ্য টাকা নির্ণয় করব, যেহেতু রূমি ১ অংশ পাবে:

রূমির প্রাপ্য টাকা = প্রতিটি অংশের মূল্য × রূমির অংশ সংখ্যা
\[ \text{রূমির প্রাপ্য টাকা} = 360 × 1 = 360 \]

সুতরাং, রূমি ৩৬০ টাকা পাবে।

**উত্তর: ৩৬০**"
272,দুটি ধণাত্মক সংখ্যার গুণফল ৯৮ এবং বড়ো সংখ্যাটি ছোটো সংখ্যাটির ২ গুণ। ছোট সংখ্যাটি কী?,৭,"ধরা যাক ছোট সংখ্যাটি \( x \) এবং বড় সংখ্যাটি \( 2x \)।

প্রশ্ন অনুযায়ী, এই দুটি সংখ্যার গুণফল হলো ৯৮। সুতরাং, আমরা পেতে পারি:

\[
x \times 2x = 98
\]

এটি সহজ করে লিখতে পারি:

\[
2x^2 = 98
\]

এরপর উভয় পক্ষকে ২ দ্বারা ভাগ করি:

\[
x^2 = 49
\]

এখন \( x \)-এর মান বের করার জন্য উভয় পাশে বর্গমূল গ্রহণ করি:

\[
x = \sqrt{49}
\]

অতএব, \( x = 7 \)।

তাহলে ছোট সংখ্যাটি হলো ৭।

**উত্তর: ৭**"
17,পিতা পুত্রের বর্তমান বয়সের পার্থক্য ১৫ বছর । ৩০ বছর পর তাদের  বয়সের পার্থক্য কত হবে?,১৫,"এখানে পিতা এবং পুত্রের বর্তমান বয়সের পার্থক্য ১৫ বছর, যা দেওয়া আছে। বয়সের পার্থক্য কখনো পরিবর্তিত হয় না কারণ বয়সের পার্থক্য সব সময় স্থির থাকে।

যে কারণে ৩০ বছর পরেও পিতা এবং পুত্রের বয়সের পার্থক্য একই থাকবে যেমনটা এখন আছে।

সুতরাং, ৩০ বছর পর তাদের বয়সের পার্থক্য হবে:

**""উত্তর: ১৫""**"
358,"আহমেদের কাছে ৪ কেজি তেল আছে। ১ লিটার তেলের ওজন ৬/৭ কেজি হলে, তার কাছে কত লিটার তেল আছে? ",১৪/৩,"আমাদের লক্ষ্য হলো আহমেদের কাছে কত লিটার তেল আছে তা নির্ণয় করা। আমাদের কাছে ধার্যকৃত তথ্য অনুযায়ী:

১ লিটার তেলের ওজন = \( \frac{৬}{৭} \) কেজি

আহমেদের কাছে মোট তেল = ৪ কেজি

এখন, আমরা জানতে চাই যে ৪ কেজি তেলের সমতুল্য কত লিটার তেল। তাই, আমরা নিম্নলিখিত ধাপগুলো অনুসরণ করবো।

প্রথমে, ১ লিটার তেলের ওজন হিসাবে \( \frac{৬}{৭} \) কেজি নির্ণয় করেছি। এখন ১ কেজি তেলের লিটার সংখ্যাটি নির্ণয় করবো:

১ কেজি তেলের লিটার সংখ্যা = \( \frac{৭}{৬} \) লিটার

এখন, ৪ কেজি তেলের লিটার সংখ্যা নির্ণয় করতে:

৪ কেজি তেলের লিটার সংখ্যা = \( ৪ \times \frac{৭}{৬} \) লিটার

\( = \frac{২৮}{৬} \) লিটার

\( = \frac{১৪}{৩} \) লিটার

\( = ৪.৬৬৭ \) লিটার (প্রায়)

সুতরাং, আহমেদের কাছে প্রায় ৪.৬৬৭ লিটার তেল আছে।

**উত্তর: ৪.৬৬৭**"
110,"যদুনাথ বিদ্যামন্দির স্কুলের ষষ্ঠ শ্রেণির ছাত্রছাত্রীদের, স্কুলের বাগানে লাগানোর জন্য পঞ্চায়েত থেকে ফুলগাছের চারা পাঠিয়েছে। হিসাব করে দেখা গেল চারাগুলিকে ২০টি, ২৪টি বা ৩০ টি সারিতে লাগালে প্রতিক্ষেত্রে প্রতিসারিতে সমান চারা থাকে। পঞ্চায়েত থেকে কমপক্ষে কতগুলি চারা পাঠিয়েছিল হিসাব করে দেখি।",১২০,"প্রতিটি সমস্যার ক্ষেত্রে চারা গাছের সংখ্যা এমন হতে হবে যাতে ২০, ২৪ এবং ৩০ দিয়ে বিভাজ্য হয়। অর্থাৎ, চারা গাছের সংখ্যা ২০, ২৪ এবং ৩০ এর ল.সা.গু (লঘিষ্ট সাধারণ গুণিতক) হতে হবে।

প্রথমে, আমরা ২০, ২৪ এবং ৩০ এর ল.সা.গু বের করব:

২০ = \(2^2 \times 5\)

২৪ = \(2^3 \times 3\)

৩০ = \(2 \times 3 \times 5\)

এখন, ল.সা.গু বের করার জন্য আমরা সর্বোচ্চ ঘাতের উপাদানগুলি নেব:

\[
ল.সা.গু = 2^3 \times 3^1 \times 5^1 = 8 \times 3 \times 5 = 120
\]

অতএব, পঞ্চায়েত থেকে কমপক্ষে ১২০ টি চারা পাঠানো হয়েছিল।

**উত্তর: ১২০**"
215,৯৭৮৬ কিগ্রা. ও ২৭৯৬ কিগ্রা. -এর গ.সা.গু এর মান খুঁজি।,১৩৯৮,"দুটি সংখ্যার গ.সা.গু (গরিষ্ঠ সাধারণ গুণনীয়ক) নির্ধারণ করতে, ইউক্লিডিয়ান পদ্ধতি ব্যবহার করা যেতে পারে। এই পদ্ধতি অনুসারে, নিম্নলিখিত ধাপগুলি অনুসরণ করতে হবে:

১. বড় সংখ্যা থেকে ছোট সংখ্যা বিয়োগ করে ভাগফল বের করি, মানে \( ৯৭৮৬ \div ২৭৯৬ \) করব।

প্রথমে, ভাগফল বের করতে হলে, \( ৯৭৮৬ \div ২৭৯৬ \) করলে ভাগফল হবে ৩ এবং অবশিষ্ট থাকবে:
\[ ৯৭৮৬ - ২৭৯৬ \times ৩ = ৯৭৮৬ - ৮৩৮৮ = ১৩৯৮ \]

২. এবার পূর্বের ছোট সংখ্যা (২৭৯৬) এবং নতুন অবশিষ্ট সংখ্যা (১৩৯৮) নিয়ে ফের এই প্রক্রিয়া পুনরাবৃত্তি করি:
\[ ২৭৯৬ \div ১৩৯৮ \rightarrow ২৭৯৬ = ১৩৯৮ \times ২ + ০ \]

এখানে অবশিষ্ট অংশ হিসাবে ০ পাচ্ছি, তাই প্রক্রিয়াটি শেষ হয় এবং গ.সা.গু হবে সেই অবশিষ্ট সংখ্যা যা শূন্য হওয়ার পূর্বে শূন্য হয়নি।

এভাবে, গ.সা.গু হবে ১৩৯৮।

**উত্তর: ১৩৯৮**"
219,"১০৭১ টি ধুতি, ৫৯৫ টি শাড়ি ও ৩৫৭ টি জামা মজুদ আছে। কিছু পরিবারের মধ্যে ওই জিনিসগুলি সমানভাগে ভাগ করে দেয়া হলো। প্রত্যেক পরিবার কতগুলি ধুতি পাবে।",৯,"প্রথমে আমরা গণনা করব, মোট কতগুলি পরিবারকে সমানভাগে জিনিসপত্রগুলো ভাগ করে দেওয়া যেতে পারে। আমরা ধুতি, শাড়ি এবং জামার সর্বাধিক সাধারণ বিভাজক (GCD) বের করব, যা আমাদেরকে প্রত্যেক পরিবারে সমানভাবে ভাগ করা সম্ভব জিনিসের সংখ্যাটি দেবে।

ধুতি, শাড়ি এবং জামার সংখ্যা যথাক্রমে:  
- ধুতি = ১০৭১  
- শাড়ি = ৫৯৫  
- জামা = ৩৫৭  

এখন, আমরা এই তিনটি সংখ্যার GCD বের করব।

প্রথমে ১০৭১ এবং ৫৯৫ এর GCD বের করি:
- ১০৭১ % ৫৯৫ = ৪৭৬  
- ৫৯৫ % ৪৭৬ = ১১৯  
- ৪৭৬ % ১১৯ = ০  

সুতরাং, GCD(১০৭১, ৫৯৫) = ১১৯

এবার, ১১৯ এবং ৩৫৭ এর GCD বের করি:
- ৩৫৭ % ১১৯ = ০  

অতএব, GCD(১১৯, ৩৫৭) = ১১৯

এই ক্ষেত্রে, GCD(১০৭১, ৫৯৫, ৩৫৭) = ১১৯

অর্থাৎ, ১১৯টি পরিবারকে সমান ভগ্নাংশে এই জিনিসগুলো ভাগ করা সম্ভব।

এখন, প্রত্যেকটি পরিবার কতগুলি ধুতি পাবে তা নির্ণয় করি:  
ধুতির সংখ্যা = ১০৭১  

প্রত্যেক পরিবারে পাওয়া ধুতির সংখ্যা = ১০৭১ / ১১৯  
= ৯

সুতরাং, প্রত্যেক পরিবার ৯টি ধুতি পাবে।

**উত্তর: ৯**"
98,২টি গরু এবং ৩টি ছাগলের মূল্য একত্রে ৪৫০৮০ টাকা। একটি ছাগলের মূল্য ৪৫৬০ টাকা। তাহলে একটি গরুর মূল্য কত টাকা?,১৫৭০০,"দেয়া তথ্য অনুযায়ী, ২টি গরু এবং ৩টি ছাগলের মিলিত মূল্য হলো ৪৫০৮০ টাকা।

ধরি, একটি গরুর মূল্য = \( x \) টাকা।

এখন, একটি ছাগলের মূল্য = ৪৫৬০ টাকা। সুতরাং, ৩টি ছাগলের মোট মূল্য = \( 3 \times 4560 = 13680 \) টাকা।

এখন, সমস্যা অনুযায়ী আমরা সমীকরণ গঠন করতে পারি:

\[ 2x + 13680 = 45080 \]

এখন, আমরা \( x \) বের করার জন্য উপরের সমীকরণটি সমাধান করব:

\[ 2x = 45080 - 13680 \]

\[ 2x = 31400 \]

\[ x = \frac{31400}{2} \]

\[ x = 15700 \]

অতএব, একটি গরুর মূল্য ১৫৭০০ টাকা।

**উত্তর: ১৫৭০০**"
624,ফাইজ ও আয়াজের কতকগুলো আপেলকুল ছিল। ফায়াজের আপেলকুল থেকে আয়াজকে ১০ টি আপেলকুল দিলে আয়াজের আপেলকুলের সংখ্যা ফাইয়াজের আপেলকুলের সংখ্যার তিনগুণ হতো। আর আয়াজের আপেলকুল থেকে ফাইয়াজকে ২০ টি দিলে ফাইয়াজের আপেলকুলের সংখ্যা আয়াজের সংখ্যার দ্বিগুণ হতো। আয়াজের কতগুলো আপেলকুল ছিল ?,৪৪,"এই সমস্যাটি সমাধান করার জন্য, আমরা ভিন্ন ভিন্ন পরিস্থিতিতে একটি সিস্টেম অব ইকুয়েশন তৈরি করব।

ধরি:
- ফাইজের আপেলকুলের সংখ্যা = \( F \)
- আয়াজের আপেলকুলের সংখ্যা = \( A \)

প্রথম শর্ত অনুযায়ী:
ফাইজ তার ১০ টি আপেলকুল আয়াজকে দিলে, আয়াজের আপেলকুল ফাইজের আপেলকুলের তিনগুণ হবে।

এটি প্রকাশ করা যায়: 
\[ A + 10 = 3 \times (F - 10) \]

দ্বিতীয় শর্ত অনুযায়ী:
আয়াজ তার ২০ টি আপেলকুল ফাইজকে দিলে, ফাইজের আপেলকুলের সংখ্যা আয়াজের আপেলকুলের দুইগুণ হবে।

এটি প্রকাশ করা যায়:
\[ F + 20 = 2 \times (A - 20) \]

এখন, প্রথম সমীকরণটি সরলীকরণ করি:
\[ A + 10 = 3F - 30 \]
\[ A = 3F - 40 \] \hfill --- (i)

দ্বিতীয় সমীকরণ সরলীকরণ করি:
\[ F + 20 = 2A - 40 \]
\[ F = 2A - 60 \] \hfill --- (ii)

এখন সমীকরণ (i) ও (ii) দুটি সমাধান করে \( A \) এবং \( F \) এর মান বের করি।

প্রথমে \( F \) এর মান (ii) থেকে (i) তে বসিয়ে দেই:
\[ A = 3(2A - 60) - 40 \]
\[ A = 6A - 180 - 40 \]
\[ A = 6A - 220 \]
\[ 220 = 6A - A \]
\[ 220 = 5A \]
\[ A = 44 \]

এখন \( A \) এর মান ব্যবহার করে, \( F \) এর মান বের করি:
\[ F = 2 \times 44 - 60 \]
\[ F = 88 - 60 \]
\[ F = 28 \]

সুতরাং, আয়াজের সমস্ত আপেলকুলের সংখ্যা ছিল **44**।

**উত্তর: 44**"
104,দুটি সংখ্যার ল.সা.গু ও গ.সা.গু যথাক্রমে ২৫২ ও ৬; সংখ্যা দুটির গুণফল কত তা হিসাব করি।,১৫১২,"ল.সা.গু (লঘিষ্ঠ সাধারণ গুণনীয়ক) এবং গ.সা.গু (গরিষ্ঠ সাধারণ গুণনীয়ক) এর সম্পর্ক হচ্ছে দুটি সংখ্যার গুণফল সমান হয় তাদের ল.সা.গু এবং গ.সা.গু এর গুণফলের সাথে। অর্থাৎ, যদি দুটি সংখ্যা \( a \) এবং \( b \) হয়, তাহলে:

\[
a \times b = \text{ল.সা.গু}(a, b) \times \text{গ.সা.গু}(a, b)
\]

এখানে, 
\(\text{ল.সা.গু}(a, b) = 252\) এবং \(\text{গ.সা.গু}(a, b) = 6\)।

তাহলে,

\[
a \times b = 252 \times 6
\]

এখন, আমরা 252 এবং 6 এর গুণফল গণনা করি:

\[
252 \times 6 = 1512
\]

সুতরাং, সংখ্যা দুটি \( a \) এবং \( b \) এর গুণফল হলো:

**""উত্তর: 1512""**"
133,"রাজীব, দেবাঙ্গনা, মাসুম ও তাজমীরা ৬ দিনে ১৫০টি অংম করতে পারে। হিসাব করে দেখি প্রত্যেকে প্রতিদিন সমপরিমাণ অঙ্ক করলে রাজীব ও তাজমীরা কত দিনে ২৫০ টি অঙ্ক করতে পারবে।",২০,"প্রথমে আমরা চারজনের সম্মিলিত কাজের হার নির্ধারণ করব। রাজীব, দেবাঙ্গনা, মাসুম এবং তাজমীরা ৬ দিনে ১৫০টি অঙ্ক করতে পারে। 

প্রতিদিনের কাজের হার বের করতে হলে:
\[ 
\text{প্রতিদিনের কাজের হার} = \frac{\text{মোট কাজ}}{\text{দিনের সংখ্যা}} = \frac{150}{6} = 25 
\]

এটি চারজনের প্রতিদিনের সম্মিলিত কাজের হার। সুতরাং প্রত্যেকের প্রতিদিনের কাজের হার হবে:
\[ 
\text{প্রতিজনের প্রতিদিনের কাজের হার} = \frac{25}{4} = 6.25 
\]

এখন, রাজীব ও তাজমীরা দুজন দিন মিলিতভাবে কাজ করলে তাদের মোট কাজের হার হবে:
\[ 
\text{রাজীব এবং তাজমীরার সম্মিলিত কাজের হার} = 6.25 + 6.25 = 12.5 
\]

এখন আমরা হিসাব করবো রাজীব ও তাজমীরা ২৫০টি অঙ্ক করতে কত দিন লাগবে।
\[ 
\text{দিনের সংখ্যা} = \frac{\text{মোট কাজ}}{\text{সহযোগী কাজের হার}} = \frac{250}{12.5} = 20 
\]

সুতরাং, রাজীব ও তাজমীরা ২৫০টি অঙ্ক করতে ২০ দিন লাগবে।

**উত্তর: ২০**"
78,দশ হাজার টাকার জন্য মোট কয়টা পাঁচশত টাকার নোট প্রয়োজন?,২০,"সমস্যাটি সমাধান করতে আমাদের দশ হাজার টাকা থেকে বুঝতে হবে মোট কতগুলো পাঁচশত টাকার নোট প্রয়োজন।

প্রথমে আমরা দশ হাজার টাকা থেকে পাঁচশত টাকার নোট বের করতে হবে:

১০,০০০ টাকা থেকে আমরা প্রত্যেক নোটের মান ৫০০ টাকা করে ভাগ করবো:

\[ \text{মোট নোটের সংখ্যা} = \frac{১০,০০০}{৫০০} \]

এখন গণনা করি:

\[ \frac{১০,০০০}{৫০০} = ২০ \]

অর্থাৎ, দশ হাজার টাকা অর্জন করতে মোট ২০টি পাঁচশত টাকার নোট প্রয়োজন।

**উত্তর: ২০**"
