Q No.,Question,Answer,Domain,Sub-Domain,Model Response
34,কোন সেটের সদস্য সংখ্যা ৩ হলে এর প্রকৃত উপসেট সংখ্যা কত?,৭,Math,Set Function,"n সংখ্যক উপাদান বিশিষ্ট একটি সেটের প্রকৃত উপসেট সংখ্যা 2^n - 1 দ্বারা দেওয়া হয়। 

প্রদত্ত যে সেটের সদস্য সংখ্যা ৩, আমরা n = 3 ধরে নিতে পারি। 

সুতরাং, প্রকৃত উপসেট সংখ্যা = 2^3 - 1 = 8 - 1 = 7

উত্তর: 7"
513,৫ গ্রাম হাইড্রোজেন গ্যাসকে ১.২৭ x ১০^২৪ টি ক্লোরিন পরমাণুর মধ্যে চালনা করা হলে এতে কত গ্রাম ক্লোরিন গ্যাস ছিল?,৭৫,Chemistry,Chemistry,"প্রথমে, আমাদের হাইড্রোজেন এবং ক্লোরিনের মধ্যে রাসায়নিক বিক্রিয়া বুঝতে হবে। তাদের মধ্যে বিক্রিয়া হয়:

H₂ + Cl₂ → 2HCl

এই বিক্রিয়ায়, 1 মোল হাইড্রোজেন গ্যাস 1 মোল ক্লোরিন গ্যাসের সাথে বিক্রিয়া করে 2 মোল হাইড্রোক্লোরিক অ্যাসিড তৈরি করে।

এখন, আমরা জানি যে 5 গ্রাম হাইড্রোজেন গ্যাস আছে। হাইড্রোজেনের মোলার ভর 2 গ্রাম/মোল। সুতরাং, 5 গ্রাম হাইড্রোজেন গ্যাসের মোল সংখ্যা হল:

5 গ্রাম / 2 গ্রাম/মোল = 2.5 মোল

যেহেতু বিক্রিয়াটি 1:1 অনুপাতে হয়, �"
214,১ থেকে ১০ পর্যন্ত ক্রমিক নম্বর দেওয়া টিকেটগুলো ভালোভাবে মিশিয়ে একটি টিকেট দৈবভাবে নিলে টিকেটটি ২ অথবা ৩ এর গুণিতক হওয়ার সম্ভাবনা কত?,৭/১০,Math,Probability,"আসুন সমস্যাটি ধাপে ধাপে ভেঙে ফেলি:

1. ১ থেকে ১০ পর্যন্ত মোট ১০টি টিকিট আছে।
2. আমরা জানতে চাই ২ অথবা ৩ এর গুণিতক টিকিটের সংখ্যা কত।
3. ২ এর গুণিতক টিকিটগুলি হল: ২, ৪, ৬, ৮, ১০। মোট ৫টি।
4. ৩ এর গুণিতক টিকিটগুলি হল: ৩, ৬, ৯। মোট ৩টি।
5. কিন্তু লক্ষ্য করুন যে ৬ নম্বরটি উভয় ক্ষেত্রেই আছে (২ এবং ৩ এর গুণিতক)। তাই আমাদের এটিকে দুইবার গণনা করা উচিত নয়।
6. সুতরাং, ২ বা ৩ এর গুণিতক টিকিটের মোট সংখ্যা হল: ৫ (২ এর গুণি�"
256,দুইটি মুদ্রা একসাথে নিক্ষেপ করা হলে বড়জোর একটি হেড পাওয়ার সম্ভাবনা কত?,৩/৪,Math,Probability,"দুইটি মুদ্রা একসাথে নিক্ষেপ করা হলে মোট ৪টি সম্ভাব্য ফলাফল হতে পারে: TT, TH, HT, HH।

বড়জোর একটি হেড পাওয়ার সম্ভাব্য ফলাফল হল: TH, HT, HH।

সুতরাং, বড়জোর একটি হেড পাওয়ার সম্ভাবনা হল ৩/৪।

উত্তর: ৩/৪"
563,১৭.৭৫ গ্রাম সোডিয়াম সালফেট ৪৫০ মিলি দ্রবণে দ্রবীভূত থাকলে দ্রবণের ঘনমত্রা কত?,০.২৭,Chemistry,Chemistry,"প্রথমে, আমাদের দ্রবণের মূল ঘনত্ব বের করতে হবে। মোলার ভর ব্যবহার করে মোলের সংখ্যা খুঁজে পেতে পারি। সোডিয়াম সালফেটের মোলার ভর হল:

২৩ (Na) + ৩২ (S) + ৪*১৬ (O) = ১৪২ গ্রাম/মোল

মোলের সংখ্যা হল:
১৭.৭৫ গ্রাম / ১৪২ গ্রাম/মোল = ০.১২৫ মোল

মলারিটি হল মোলের সংখ্যা প্রতি লিটার দ্রবণের সংখ্যা। যেহেতু আমাদের দ্রবণের আয়তন ৪৫০ মিলি, আমরা এটিকে লিটারে রেখেছি:
৪৫০ মিলি * (১০০০ মিলি / ১ লিটার) = ০.৪৫ লিটার

মলারিটি:
০.১২৫ মোল / ০."
69,একটি গরুকে রশি দিয়ে এমনভাবে বাঁধা হল যেন গরুটি ১৪৪ বর্গ মি বৃত্তাকার মাঠের ঘাস খেতে পারে। মাঠের ব্যাস কত মিটার?,১৩.৫৪,Math,Trigonometry,"প্রথমে, আমাদের মাঠের ক্ষেত্রফল এবং বৃত্তের বৈশিষ্ট্য ব্যবহার করে ব্যাসার্ধ খুঁজে বের করতে হবে। একটি বৃত্তের ক্ষেত্রফলের সূত্র হল:

ক্ষেত্রফল = π * r^2

যেখানে r হল বৃত্তের ব্যাসার্ধ। আমরা জানি যে মাঠের ক্ষেত্রফল 144 বর্গ মিটার, তাই:

144 = π * r^2

এখন, আমরা r এর সমাধান করতে পারি:

r^2 = 144 / π
r^2 = 144 / (22/7)
r^2 = 144 * (7/22)
r^2 = 45.8181...

বর্গমূল নিলে আমরা পাই:

r = √45.8181...
r ≈ 6.77 মিটার

এখন, ব্যাসার্ধ জেনে, আমরা ব্যাস খুঁজে পেতে পারি যা ব্যাসার্ধের দ্বিগুণ:

ব্যাস = 2 * r
ব্যাস = 2 * 6.77
ব্যা�"
78,একটি বৃত্তের ব্যাস ৫ সে.মি.। বৃত্তে ১৫ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত রেডিয়ান?,৬,Math,Trigonometry,"একটি বৃত্তের পরিধির সূত্র হল \(C = 2\pi r\), যেখানে \(r\) হল বৃত্তের ব্যাসার্ধ। যেহেতু ব্যাস ৫ সে.মি., ব্যাসার্ধ হল \(r = \frac{5}{2} = 2.5\) সে.মি.

একটি চাপের দৈর্ঘ্য \(l\) সূত্র দ্বারা দেওয়া হয় \(l = \theta r\), যেখানে \(\theta\) হল কেন্দ্রস্থ কোণ রেডিয়ানে। প্রদত্ত যে চাপের দৈর্ঘ্য ১৫ সে.মি., আমরা \(\theta\) খুঁজে পেতে পারি:

\[15 = \theta \times 2.5\]

উভয় পক্ষকে ২.৫ দ্বারা ভাগ করলে পাওয়া যায়:

\[\theta = \frac{15}{2.5} = 6\]

সুতরাং, কেন্দ্রস্থ কোণের পরিমাণ রেডিয়ানে ৬।

উত্তর: 6"
62,"একটি চাকা ৩.২৫ কি.মি. পথ যেতে ২৫ বার ঘুরে, চাকাটির ব্যাস কত মিটার?",৪১.৩৮,Math,Trigonometry,"একটি চাকা ৩.২৫ কি.মি. পথ যেতে ২৫ বার ঘুরে। আমরা চাকাটির ব্যাস বের করতে চাই।

প্রথমে, আমরা চাকাটি যে দূরত্ব অতিক্রম করেছে তা মিটারে রূপান্তর করি:
৩.২৫ কি.মি. = ৩.২৫ * ১০০০ মিটার = ৩২৫০ মিটার

যেহেতু চাকাটি ২৫ বার ঘুরে, তাই চাকাটির পরিধি * ২৫ = ৩২৫০ মিটার

চাকার পরিধি = ৩২৫০ / ২৫ = ১৩০ মিটার

চাকাটির ব্যাসার্ধকে 'r' হিসাবে চিহ্নিত করা যাক। যেহেতু চাকাটির পরিধি = ২ * π * r, আমরা লিখতে পারি:
২ * π * r = ১৩০

π এর মান প্রায় ৩.১৪ হিসাবে গ্রহণ করে, আমরা লিখত"
6,দশমিক সংখ্যা ২৫ এর বাইনারি কত?,১১০০১,CS,CS,"প্রথমে, আমাদের দশমিক সংখ্যা ২৫কে বাইনারিতে রূপান্তর করতে হবে। বাইনারি সিস্টেমে সংখ্যার মান দুইটি সংখ্যা দিয়ে প্রকাশ করা হয়: ০ এবং ১।

২৫ কে বাইনারিতে রূপান্তর করতে, আমরা প্রথমে ২৫ কে ২ দ্বারা ভাগ করব এবং ভাগফল ও অবশিষ্টাংশ নিয়ে একটি সারণী তৈরি করব। এই প্রক্রিয়াটি ০ পর্যন্ত পৌঁছানো পর্যন্ত চালিয়ে যাব।

২৫ ÷ ২ = ১২ বাকি ১
১২ ÷ ২ = ৬ বাকি ০
৬ ÷ ২ = ৩ বাকি ০
৩ ÷ ২ = ১ বাকি ১
১ ÷ ২ = ০ বাকি ১

এখন, আমরা অবশিষ্টাংশের ক্রম �"
528,তুঁতের এক অণুতে যুক্ত পানির ভর কত?,৯০,Chemistry,Chemistry,"একটি তুঁতের এক অণুতে যুক্ত পানির ভর গণনা করতে, আমাদের প্রথমে একটি পানির অণুর গঠন বুঝতে হবে। একটি পানির অণু দুটি হাইড্রোজেন পরমাণু এবং একটি অক্সিজেন পরমাণু দ্বারা গঠিত, যা H2O হিসাবে প্রকাশ করা হয়।

পানির অণুর ভর গণনা করতে, আমাদের প্রতিটি পরমাণুর পারমাণবিক ভর জানতে হবে:

- হাইড্রোজেন (H): 1.00794 u (একক পারমাণবিক ভর)
- অক্সিজেন (O): 15.9994 u

একটি পানির অণুতে দুটি হাইড্রোজেন পরমাণু এবং একটি অক্সিজেন পরমাণু থাকলে, একটি পানির অণুর মো"
