Q No.,Question,Answer,Model Response
45,তাহসান দোকান থেকে ডজন প্রতি ১২০ টাকা দিয়ে আড়াই ডজন ডিম নিয়ে বাসায় গেল। বাসায় গিয়ে সে দেখল ৩ টা ডিম নষ্ট। তবে তাহসানের কত টাকা ক্ষতি হল?,৩০,"এখানে, তাহসানের মোট ডিমের সংখ্যা, নষ্ট হওয়া ডিমের সংখ্যা এবং ডিমের দাম হিসাব করে ক্ষতির পরিমাণ বের করতে হবে।

১ ডজন ডিমের দাম = ১২০ টাকা
তাহলে, ২.৫ (আড়াই) ডজন ডিমের দাম = ১২০ * ২.৫ = ৩০০ টাকা

তাহসান ৩০০ টাকার ডিম কিনেছিল।

২.  ৫ ডজন ডিম মানে ২.৫ * ১২ = ৩০ টি ডিম।
এই ৩০ টি ডিমের মধ্যে ৩টি ডিম নষ্ট হয়ে গেছে।

নষ্ট হওয়া ৩টি ডিমের দাম = (১২০ / ১২) * ৩ = ১০ * ৩ = ৩০ টাকা

অতএব, তাহসানের ৩০ টাকা ক্ষতি হয়েছে।

উত্তর: ৩০"
319,"সনি ১৭ বছর বয়সে সনির জন্মদিনে একটি প্রতিষ্ঠানকে ৮ হাজার টাকা দান করা শুরু করে। গতকাল, সনি ৭১ বছর বয়সী হয়। এখন পর্যন্ত সনি কত হাজার টাকা দান করেছে?",৪৪০,"সনি ১৭ বছর বয়স থেকে ৭১ বছর বয়স পর্যন্ত দান করেছে। প্রথমে, আমরা নির্ণয় করি সনি কত বছর ধরে দান করেছে।

মোট বছর = ৭১ - ১৭ = ৫৪ বছর

সনি প্রতি বছর ৮ হাজার টাকা দান করে। সুতরাং, ৫৪ বছরে সনি মোট দান করেছে:

মোট দান = ৫৪ বছর * ৮ হাজার টাকা/বছর = ৪৩২ হাজার টাকা

অতএব, সনি এ পর্যন্ত ৪৩২ হাজার টাকা দান করেছে।

উত্তর: ৪৩২"
30,রফিক দোকান থেকে ডিম প্রতি ৭ টাকা করে সাড়ে চার ডজন ডিম নিয়ে বাসায় গেল। তবে রফিকের কত টাকা খরচ হল?,৩৭৮,"এখানে, রফিক দোকান থেকে ডিম কিনেছে। আমাদের বের করতে হবে ডিম কিনতে তার মোট কত টাকা খরচ হয়েছে।

প্রথমত, আমাদের জানতে হবে এক ডজন ডিম মানে কয়টি ডিম। আমরা জানি, ১ ডজন = ১২টি ডিম।

সুতরাং, সাড়ে চার ডজন ডিম = ৪.৫ ডজন ডিম = ৪.৫ × ১২ টি ডিম = ৫৪ টি ডিম।

এখন, প্রতিটি ডিমের দাম ৭ টাকা। সুতরাং, ৫৪টি ডিমের দাম হবে ৫৪ × ৭ টাকা = ৩৭৮ টাকা।

অতএব, রফিকের মোট ৩৭৮ টাকা খরচ হয়েছে।

উত্তর: ৩৭৮"
325,তাসের ডেক থেকে ৪টি কালো কার্ড বের করা হয়েছে। অবশিষ্ট কালো কার্ডের সংখ্যা কত?,২২,"একটি তাসের ডেকের মধ্যে মোট ৫২টি কার্ড থাকে। এর মধ্যে ২৬টি কালো কার্ড এবং ২৬টি লাল কার্ড।

প্রশ্নানুসারে, ডেক থেকে ৪টি কালো কার্ড বের করা হয়েছে।

অতএব, অবশিষ্ট কালো কার্ডের সংখ্যা হবে: ২৬ - ৪ = ২২

সুতরাং, উত্তর: ২২"
156,ব্রুকলিন প্রতি মাসে দাতব্য প্রতিষ্ঠানে ১৪৫৩ টাকা দান করে। এক বছরে তার মোট দানের হিসাব করুন।,১৭৪৩৬,"ব্রুকলিন প্রতি মাসে ১৪৫৩ টাকা দান করে। এক বছরে মোট দানের পরিমাণ বের করতে হলে ১৪৫৩ কে ১২ দিয়ে গুণ করতে হবে, যেহেতু এক বছরে ১২ মাস।

সুতরাং, মোট দান = ১৪৫৩ * ১২

এখন, গুণটি করা যাক:
  ১৪৫৩
*  ১২
-------
  ২৯০৬
১৪৫৩০
-------
১৭৪৩৬

অতএব, ব্রুকলিন এক বছরে ১৭৪৩৬ টাকা দান করে।

উত্তর: ১৭৪৩৬"
20,আবির দোকান থেকে আড়াই ডজন ডিম নিয়ে বাসায় গেল। বাসায় গিয়ে সে দেখল ৩ টা ডিম নষ্ট। তবে আবিরের কাছে কয়টা ভাল ডিম আছে?,২৭,"আবির দোকান থেকে আড়াই ডজন ডিম কিনেছে। আমরা জানি, ১ ডজন = ১২টি। সুতরাং, আড়াই ডজন = ২ ডজন + অর্ধেক ডজন = (২ × ১২) + (১২ ÷ ২) = ২৪ + ৬ = ৩০টি ডিম।

আবিরের কেনা ডিমের মধ্যে ৩টি নষ্ট হয়ে গেছে।

অতএব, ভালো ডিমের সংখ্যা = মোট ডিমের সংখ্যা - নষ্ট ডিমের সংখ্যা = ৩০ - ৩ = ২৭টি।

উত্তর: ২৭"
78,মিনা ৪ মিনিটে ২০০ মিটার হাঁটে। আধা ঘন্টায় সে কত মিটার হাটতে পারবে?,১৫০০,"মিনা ৪ মিনিটে হাঁটে ২০০ মিটার।

সুতরাং, মিনা ১ মিনিটে হাঁটে = ২০০/৪ = ৫০ মিটার।

আধা ঘন্টা = ৩০ মিনিট।

অতএব, মিনা ৩০ মিনিটে হাঁটতে পারবে = ৫০ * ৩০ = ১৫০০ মিটার।

উত্তর: ১৫০০"
32,জামাল দোকান থেকে ডিম প্রতি ১০ টাকা করে সাড়ে ছয় হালি ডিম নিয়ে বাসায় গেল। তবে জামালের কত টাকা খরচ হল?,২৬০,"এখানে, জামাল দোকান থেকে ডিম কিনেছে। আমাদের বের করতে হবে ডিম কিনতে তার কত টাকা খরচ হয়েছে।

প্রথম ধাপে, আমাদের জানতে হবে ১ হালি ডিম মানে কয়টি ডিম। আমরা জানি, ১ হালি = ৪টি ডিম।

সুতরাং, সাড়ে ছয় হালি ডিম = ৬.৫ হালি ডিম = ৬.৫ × ৪ = ২৬টি ডিম।

এখন, প্রতিটি ডিমের দাম ১০ টাকা। সুতরাং, ২৬টি ডিমের দাম = ২৬ × ১০ = ২৬০ টাকা।

অতএব, ডিম কিনতে জামালের ২৬০ টাকা খরচ হয়েছে।

উত্তর: ২৬০"
240,একটি বর্ণমালা লিখতে আলেকজান্ডারের একটি কাগজের একটি শীট প্রয়োজন। স্বরবর্ণ গুলো লিখতে কয়টি কাগজের প্রয়োজন হয়?,১১,"বাংলা বর্ণমালায় স্বরবর্ণগুলো হলো: অ, আ, ই, ঈ, উ, ঊ, ঋ, এ, ঐ, ও, ঔ।

এখানে মোট স্বরবর্ণের সংখ্যা ১১টি।

যেহেতু প্রতিটি স্বরবর্ণ লিখতে একটি করে কাগজের শীট প্রয়োজন, তাই ১১টি স্বরবর্ণ লিখতে ১১টি কাগজের শীট প্রয়োজন হবে।

অতএব, উত্তর: ১১"
361,লেভি বোর্ডে প্রতিটি স্বরবর্ণ লিখেছিলেন। যদি প্রতিটি স্বরবর্ণ ৩ বার লেখা হয়। বোর্ডে মোট কতটি বর্ণমালা লেখা ছিল?,৩৩,"স্বরবর্ণগুলো হলো: A, E, I, O, U

যেহেতু লেভি প্রতিটি স্বরবর্ণ ৩ বার করে লিখেছে, তাই:

A লিখেছে ৩ বার
E লিখেছে ৩ বার
I লিখেছে ৩ বার
O লিখেছে ৩ বার
U লিখেছে ৩ বার

সুতরাং, মোট বর্ণ লেখা হয়েছে = ৩ + ৩ + ৩ + ৩ + ৩ = ১৫

উত্তর: ১৫"
