Q No.,Question,Answer,Domain,Sub-Domain,Model Response
34,কোন সেটের সদস্য সংখ্যা ৩ হলে এর প্রকৃত উপসেট সংখ্যা কত?,৭,Math,Set Function,"একটি সেটের সদস্য সংখ্যা \( n \) হলে, সেই সেটের উপসেট সংখ্যা হয় \( 2^n \) এবং প্রকৃত উপসেট সংখ্যা হয় \( 2^n - 1 \)।

এই ক্ষেত্রে, সদস্য সংখ্যা \( n = 3 \)।

তাহলে, উপসেট সংখ্যা হবে:
\[ 2^3 = 8 \]

এবং প্রকৃত উপসেট সংখ্যা হবে:
\[ 8 - 1 = 7 \]

তাহলে, তিন সদস্যের সেটের প্রকৃত উপসেট সংখ্যা হলো ৭। 

**উত্তর: ৭**"
513,৫ গ্রাম হাইড্রোজেন গ্যাসকে ১.২৭ x ১০^২৪ টি ক্লোরিন পরমাণুর মধ্যে চালনা করা হলে এতে কত গ্রাম ক্লোরিন গ্যাস ছিল?,৭৫,Chemistry,Chemistry,"প্রথমে, আমাদেরকে বুঝতে হবে ক্লোরিন গ্যাসের (Cl₂) সাথে হাইড্রোজেন গ্যাস (H₂) কীভাবে বিক্রিয়া করে। হাইড্রোজেন গ্যাস এবং ক্লোরিন গ্যাস পরস্পরের সাথে বিক্রিয়া করে হাইড্রোক্লোরিক এসিড (HCl) গঠন করে। এই বিক্রিয়ার প্রতিক্রিয়াসূত্র হলো:

\[ \text{H}_2 + \text{Cl}_2 \rightarrow 2\text{HCl} \]

প্রথমে আমরা মোলের হিসেবে হাইড্রোজেন গ্যাসের পরিমাণ বের করবো। হাইড্রোজেন গ্যাসের মোলার ভর হলো ২ গ্রাম/মোল।

\[ \text{হাইড্রোজেনের মোলের সংখ্যা} = \frac{5 \, \text{গ্রাম}}{2 \, \text{গ্রাম/মোল}} = 2.5 \, \text{মোল} \]

বিক্রিয়াসূত্র অনুযায়ী, ১ মোল হাইড্রোজেন গ্যাসের জন্য ১ মোল ক্লোরিন গ্যাস প্রয়োজন হয়। কাজেই ২.৫ মোল হাইড্রোজেন গ্যাসের জন্য ২.৫ মোল ক্লোরিন গ্যাস প্রয়োজন হবে।

এখন আমরা ১.২৭ x ১০²⁴ টি ক্লোরিন পরমাণু থেকে ক্লোরিন গ্যাসের মোল সংখ্যা নির্ণয় করবো।

অভোগাদের সংখ্যা (Avogadro's number) হলো ৬.০২২ x ১০²³, যা প্রতি মোল পরমাণুর জন্য ব্যবহৃত হয়।

\[ \text{ক্লোরিনের মোল সংখ্যা} = \frac{1.27 \times 10^{24}}{6.022 \times 10^{23}} \]

\[ \text{ক্লোরিনের মোল সংখ্যা} \approx 2.11 \, \text{মোল} \]

আমাদের হিসাব অনুসারে, ২.৫ মোল হাইড্রোজেনের জন্য ২.৫ মোল ক্লোরিন প্রয়োজন। কিন্তু এখন পর্যন্ত ২.১১ মোল ক্লোরিন পাওয়া গেছে, এজন্য সম্পূর্ণ বিক্রিয়া হবে ২.১১ মোল ক্লোরিনের সাথে।

ক্লোরিন গ্যাসের"
214,১ থেকে ১০ পর্যন্ত ক্রমিক নম্বর দেওয়া টিকেটগুলো ভালোভাবে মিশিয়ে একটি টিকেট দৈবভাবে নিলে টিকেটটি ২ অথবা ৩ এর গুণিতক হওয়ার সম্ভাবনা কত?,৭/১০,Math,Probability,"প্রথমে আমরা বুঝে নেই সমস্যাটিতে কী করতে বলা হয়েছে। এখানে ১ থেকে ১০ পর্যন্ত ক্রমিক টিকেট মেশানো হয়েছে এবং একটিকে দৈবভাবে বেছে নেওয়া হবে। আমাদের কাজ হলো বের করা, সেই টিকেটটি ২ অথবা ৩ এর গুণিতক হওয়ার সম্ভাবনা কত।

প্রথম ধাপ ঠিক করা, কোন সংখ্যাগুলো ২ এর গুণিতক: 
২ এর গুণিতকগুলো হলো: ২, ৪, ৬, ৮, ১০।

দ্বিতীয় ধাপ ঠিক করা, কোন সংখ্যাগুলো ৩ এর গুণিতক: 
৩ এর গুণিতকগুলো হলো: ৩, ৬, ৯।

এখন আমরা লক্ষ্য করি, ৬ সংখ্যা উভয় গুণিতকের মধ্যে সাধারণ আছে, অর্থাৎ এটি ২ এবং ৩ উভয় গুণিতক।

অতএব, আমরা গুণিতকগুলোর ইউনিয়ন নেব:
২ এর গুণিতক: ২, ৪, ৬, ৮, ১০
৩ এর গুণিতক: ৩, ৬, ৯

দুই তালিকার ইউনিয়ন হবে: ২, ৩, ৪, ৬, ৮, ৯, ১০

সুতরাং, মোট ৭টি টিকেট আছে যেগুলো ২ অথবা ৩ এর গুণিতক। তাই সম্ভাব্য অনুকূল ঘটনা ৭টি।

মোট টিকেট সংখ্যা = ১০।

অতএব, টিকেটটি ২ অথবা ৩ এর গুণিতক হওয়ার সম্ভাবনা = \( \frac{\text{অনুকূল ঘটনা}}{\text{মোট ঘটনা}} = \frac{7}{10} \)

সুতরাং, সমস্যা অনুযায়ী উত্তর:

**""উত্তর: \(\frac{7}{10}\)""**"
256,দুইটি মুদ্রা একসাথে নিক্ষেপ করা হলে বড়জোর একটি হেড পাওয়ার সম্ভাবনা কত?,৩/৪,Math,Probability,"দুইটি মুদ্রা একই সাথে নিক্ষেপ করা হলে মোট সম্ভাব্য ফলাফলগুলো হলো:

1. প্রথম মুদ্রা টেইল, দ্বিতীয় মুদ্রা টেইল (TT)
2. প্রথম মুদ্রা টেইল, দ্বিতীয় মুদ্রা হেড (TH)
3. প্রথম মুদ্রা হেড, দ্বিতীয় মুদ্রা টেইল (HT)
4. প্রথম মুদ্রা হেড, দ্বিতীয় মুদ্রা হেড (HH)

মোট চারটি সম্ভবত ফলাফল থাকতে পারে। এখন, আমরা গণনা করব কতবার বড়জোর একটি হেড পাওয়া যায়। এখানে নিম্নলিখিত সম্ভাব্য ফলাফলগুলো এটি পূরণ করে:

1. প্রথম মুদ্রা টেইল, দ্বিতীয় মুদ্রা হেড (TH)
2. প্রথম মুদ্রা হেড, দ্বিতীয় মুদ্রা টেইল (HT)
3. প্রথম মুদ্রা টেইল, দ্বিতীয় মুদ্রা টেইল (TT)

এই তিনটি ক্ষেত্রে বড়জোর একটি হেড পাওয়া যায়। অতএব, বড়জোর একটি হেড পাওয়ার সম্ভাবনা হবে এই ফলাফলগুলোর সংখ্যা ভাগ মোট সম্ভবত ফলাফলগুলোর সংখ্যা দিয়ে।

সুতরাং, সম্ভাবনা = \(\frac{3}{4}\)

**উত্তর: \(\frac{3}{4}\)** বা 0.75"
563,১৭.৭৫ গ্রাম সোডিয়াম সালফেট ৪৫০ মিলি দ্রবণে দ্রবীভূত থাকলে দ্রবণের ঘনমত্রা কত?,০.২৭,Chemistry,Chemistry,"দ্রবণের ঘনমাত্রা নির্ণয়ের জন্য, প্রথমে আমাদের সোডিয়াম সালফেটের মোলার ভর এবং এর দ্বারা মোল সংখ্যা নির্ণয় করতে হবে। সোডিয়াম সালফেট (\( Na_2SO_4 \)) এর মোলার ভর হলো:

- সোডিয়াম (\( Na \)) এর পরমাণু ভর = ২৩
- সালফার (\( S \)) এর পরমাণু ভর = ৩২
- অক্সিজেন (\( O \)) এর পরমাণু ভর = ১৬

সুতরাং, সোডিয়াম সালফেটের মোলার ভর হবে:
\[ 
(2 \times 23) + 32 + (4 \times 16) = ৪৬ + ৩২ + ৬৪ = ১৪২ \, \text{গ্রাম/মোল}
\]

এরপর, মোল সংখ্যা নির্ণয় করার জন্য আমরা প্রাপ্ত ভরকে মোলার ভর দ্বারা ভাগ করবো:
\[
\text{মোল সংখ্যা} = \frac{\text{ভর}}{\text{মোলার ভর}} = \frac{১৭.৭৫}{১৪২} \approx ০.১২৫ \, \text{মোল}
\]

এখন, মোল সংখ্যা থেকে দ্রবণের ঘনমাত্রা (মোলারিটি) নির্ণয় করা যাক। ঘনমাত্রা (মোলারিটি) নির্ণয়ের জন্য নিম্নলিখিত ফর্মুলা ব্যবহার করা হয়:
\[
\text{ঘনমত্রা (M)} = \frac{\text{মোল সংখ্যা}}{\text{দ্রবণের আয়তন (লিটার)}}
\]

আমাদের দ্রবণের আয়তন দেওয়া আছে ৪৫০ মিলিলিটার, যা ০.৪৫০ লিটার সমান।

\[
\text{ঘনমাত্রা (M)} = \frac{০.১২৫}{০.৪৫০} \approx ০.২৭৮
\]

সুতরাং, সোডিয়াম সালফেটের দ্রবণের ঘনমাত্রা হলো **০.২৭৮ মোলার**।

**উত্তর: ০.২৭৮**"
69,একটি গরুকে রশি দিয়ে এমনভাবে বাঁধা হল যেন গরুটি ১৪৪ বর্গ মি বৃত্তাকার মাঠের ঘাস খেতে পারে। মাঠের ব্যাস কত মিটার?,১৩.৫৪,Math,Trigonometry,"প্রথমে, আমরা প্রদত্ত তথ্য বিশ্লেষণ করি। গরুকে এমনভাবে বাঁধা হয়েছে যাতে সে একটি বৃত্তাকার ক্ষেত্রের ঘাস খেতে পারে, যার ক্ষেত্রফল \( 144 \) বর্গ মিটার। 

আমরা জানি, বৃত্তের ক্ষেত্রফলের সূত্র হলো:

\[
A = \pi r^2
\]

যেখানে \( A \) হলো ক্ষেত্রফল এবং \( r \) হলো বৃত্তের ব্যাসার্ধ।

প্রদত্ত ক্ষেত্রফল, \( A = 144 \) বর্গ মিটার। তাহলে আমরা পাই:

\[
\pi r^2 = 144
\]

বর্গাকৃতি থেকে ব্যাসার্ধ \( r \) বের করার জন্য আমরা নিম্নোক্ত সমীকরণের ব্যবহার করবো:

\[
r^2 = \frac{144}{\pi}
\]

অতএব, 

\[
r = \sqrt{\frac{144}{\pi}}
\]

এখন, চলুন \( r \) এর মান নির্ণয় করি। সাধারণত আমরা \( \pi \approx 3.1416 \) রূপে ব্যবহার করি। তাহলে,

\[
r = \sqrt{\frac{144}{3.1416}} \approx \sqrt{45.835}
\]

প্রায়, 

\[
r \approx 6.77 \text{ মিটার}
\]

তাহলে, ব্যাস \( d = 2r \) হয়, অর্থাৎ:

\[
d = 2 \times 6.77 \approx 13.54 \text{ মিটার}
\]

অতএব, মাঠের ব্যাস প্রায় \( 13.54 \) মিটার।

**উত্তর: 13.54**"
78,একটি বৃত্তের ব্যাস ৫ সে.মি.। বৃত্তে ১৫ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত রেডিয়ান?,৬,Math,Trigonometry,"বৃত্তের ব্যাস \(৫\) সে.মি. দেওয়া আছে। এই তথ্য থেকে আমরা বৃত্তের ব্যাসার্ধ নির্ণয় করতে পারি।

বৃত্তের ব্যাসার্ধ \(r = \frac{\text{ব্যাস}}{2} = \frac{5}{2} = 2.5\) সে.মি.।

এখন, বৃত্তের \(১৫\) সে.মি. দীর্ঘ চাপের জন্য কেন্দ্রস্থ কোণ \(\theta\) রেডিয়ানে নির্ণয় করতে হবে। আমরা জানি যে, কেন্দ্রস্থ কোণে চাপের সূত্র হলো:

\[
\theta = \frac{\text{আর্ক (চাপ) দৈর্ঘ্য}}{\text{ব্যাসার্ধ}}
\]

তাহলে,

\[
\theta = \frac{15}{2.5} = 6
\]

অতএব, বৃত্তে \(১৫\) সে.মি. দীর্ঘ চাপের জন্য কেন্দ্রস্থ কোণের পরিমাণ হলো \(৬\) রেডিয়ান।

**উত্তর: 6**"
62,"একটি চাকা ৩.২৫ কি.মি. পথ যেতে ২৫ বার ঘুরে, চাকাটির ব্যাস কত মিটার?",৪১.৩৮,Math,Trigonometry,"চাকাটি ৩.২৫ কি.মি. পথ যেতে ২৫ বার ঘুরে। আমরা জানি যে চাকাটি একবার ঘুরলে এটি কতদূর চলে, সেটি হলো চাকাটির পরিধি। আমাদের খুঁজে বের করতে হবে চাকাটির ব্যাস।

প্রথমে, ৩.২৫ কিলোমিটারকে মিটারে রূপান্তর করি:
\[ ৩.২৫ \text{ কিমি} = ৩২৫০ \text{ মিটার} \]

চাকাটি ২৫ বার ঘুরে মোট ৩২৫০ মিটার পথ অতিক্রম করেছে। সুতরাং, চাকাটি একবার ঘুরলে তার পরিধি হবে:
\[ \text{পরিধি} = \frac{৩২৫০ \text{ মিটার}}{২৫} = ১৩০ \text{ মিটার} \]

চাকার পরিধি (C) এবং ব্যাস (d) এর মধ্যে সম্পর্ক হলো: \( C = \pi \times d \)

সুতরাং, ব্যাস (d) বের করতে:
\[ d = \frac{C}{\pi} = \frac{১৩০}{\pi} \]

এখানে, \(\pi \approx ৩.১৪\)

\[ d = \frac{১৩০}{৩.১৪} \approx ৪১.৪৪ \text{ মিটার} \]

অতএব, চাকাটির ব্যাস প্রায় ৪১.৪৪ মিটার।

**উত্তর: ৪১.৪৪**"
6,দশমিক সংখ্যা ২৫ এর বাইনারি কত?,১১০০১,CS,CS,"দশমিক সংখ্যাকে বাইনারি সংখ্যায় রূপান্তর করতে হলে, আমরা ধারাবাহিকভাবে ২ দিয়ে ভাগ করি এবং ভাগশেষগুলো সংগ্রহ করি। ২৫ এর জন্য এই প্রক্রিয়া নিচে ধাপে ধাপে দেখানো হলো:

১. ২৫ কে ২ দিয়ে ভাগ করলে, ভাগফল হবে ১২ এবং ভাগশেষ হবে ১।
২. ১২ কে ২ দিয়ে ভাগ করলে, ভাগফল হবে ৬ এবং ভাগশেষ হবে ০।
৩. ৬ কে ২ দিয়ে ভাগ করলে, ভাগফল হবে ৩ এবং ভাগশেষ হবে ০।
৪. ৩ কে ২ দিয়ে ভাগ করলে, ভাগফল হবে ১ এবং ভাগশেষ হবে ১।
৫. ১ কে ২ দিয়ে ভাগ করলে, ভাগফল হবে ০ এবং ভাগশেষ হবে ১।

এখন, উপরের ভাগশেষগুলোকে নিচ থেকে উপরের দিকে একত্রিত করলে আমরা পাই: ১১০০১।

অতএব, দশমিক সংখ্যা ২৫ এর বাইনারি রূপ হলো ১১০০১।

**উত্তর: ১১০০১**"
528,তুঁতের এক অণুতে যুক্ত পানির ভর কত?,৯০,Chemistry,Chemistry,"তুঁতের (Glucose) রাসায়নিক সংকেত হলো \( \text{C}_6\text{H}_{12}\text{O}_6 \)। এই অণুতে মোট ৬টি কার্বন (C), ১২টি হাইড্রোজেন (H), এবং ৬টি অক্সিজেন (O) পরমাণু থাকে।

আমরা যদি তুঁতের এক অণুর সাথে যুক্ত পানির ভর বের করতে পারি, তবে প্রথমে জেনে নিই প্রতিটি উপাদানের পারমাণবিক ভর:

- কার্বন (C) এর পারমাণবিক ভর প্রায় ১২ গ্রাম/মোল
- হাইড্রোজেন (H) এর পারমাণবিক ভর প্রায় ১ গ্রাম/মোল
- অক্সিজেন (O) এর পারমাণবিক ভর প্রায় ১৬ গ্রাম/মোল

এখন তুঁতের এক অণুর মোট ভর নির্ণয় করি:

\[
\text{C}_6\text{H}_{12}\text{O}_6 \text{ এর ভর} = (6 \times 12) + (12 \times 1) + (6 \times 16)
\]

\[
= 72 + 12 + 96 = 180 \text{ গ্রাম/মোল}
\]

এবার, বলা হচ্ছে তুঁতের এক অণুর সাথে এক অণু পানি যুক্ত থাকে। পানির রাসায়নিক সংকেত \( \text{H}_2\text{O} \), যেখানে ২টি হাইড্রোজেন এবং ১টি অক্সিজেন পরমাণু রয়েছে।

পানির এক অণুর ভর নির্ণয়:

\[
\text{H}_2\text{O} \text{ এর ভর} = (2 \times 1) + (1 \times 16) = 2 + 16 = 18 \text{ গ্রাম/মোল}
\]

তুঁতের এক অণুর সাথে যুক্ত পানির ভর হবে ১৮ গ্রাম/মোল।

**""উত্তর: ১৮""**"
