Q No.,Question,Answer,Model Response
32,"একটি সিনেমা থিয়েটার প্রাপ্তবয়স্কদের জন্য ৭.৫০ টাকা এবং শিশুদের জন্য ৪.৫০ টাকা চার্জ করে। একটি সিনেমা দেখানোর রসিদ ছিল ৫৪০ টাকা। যদি ৮০  টি টিকিট বিক্রি হয়, তাহলে _____ টি প্রাপ্তবয়স্ক টিকিট বিক্রি হয়েছে।",৬০,"ধরা যাক প্রাপ্তবয়স্কদের টিকিট সংখ্যা \( x \) এবং শিশুদের টিকিট সংখ্যা \( y \)।

প্রথমত আমাদের দুইটি সমীকরণ স্থাপন করতে হবে। প্রথম সমীকরণটি হলো টিকিটের মোট সংখ্যা:

\[
x + y = 80
\]

দ্বিতীয়ত আমাদের আয় অনুযায়ী সমীকরণটি হবে:

\[
7.50x + 4.50y = 540
\]

এখন আমরা প্রথম সমীকরণ থেকে \( y \)-এর মান বের করতে পারি:

\[
y = 80 - x
\]

এই মানটিকে দ্বিতীয় সমীকরণে প্রতিস্থাপন করা যাক:

\[
7.50x + 4.50(80 - x) = 540
\]

সমীকরণটি সরল করান:

\[
7.50x + 360 - 4.50x = 540
\]

\[
3x + 360 = 540
\]

এখন \( x \)-এর মান বের করার জন্য ৩৬০ সরান:

\[
3x = 540 - 360
\]

\[
3x = 180
\]

\( x \)-এর মান বের করার জন্য ৩ দিয়ে ভাগ করুন:

\[
x = \frac{180}{3}
\]

\[
x = 60
\]

সুতরাং, প্রাপ্তবয়স্ক টিকিটের সংখ্যা ৬০।

**উত্তর: ৬০**"
105,সীতা অপেক্ষা রায়হানের ৩৯০ টাকা বেশি আছে। শিমুল অপেক্ষা সীতার ৪৭০ টাকা কম আছে। শিমুলের কাছে ৮৯০ টাকা আছে। সীতার কাছে  _____ টাকা আছে।,৪২০,"শিমুলের কাছে ৮৯০ টাকা আছে এবং তার থেকে সীতা ৪৭০ টাকা বেশি টাকার মালিক। 

এখন আমরা সীতার টাকা বের করতে পারি। প্রথমে শিমুলের টাকা এবং শিমুলের চেয়ে সীতার বেশি টাকার পার্থক্য যোগ করতে হবে।

সুতরাং, সীতার টাকা হবে:
\[ ৮৯০ + ৪৭০ = ১৩৬০ \]

অতএব, সীতার কাছে ১৩৬০ টাকা আছে।

**উত্তর: ১৩৬০**"
159,বকুলতলার একটি কারখানায় গতবছরে ৭৫২১২০০ টাকা আয় হয়েছিল। এবছর আরও ৩২৫০৩২৫ টাকা আয় হলে দু-বছরে মোট _____ টাকা আয় হলো।,১০৭৭১৫২৫,"প্রথমে, গতবছরের আয় এবং এবছরের আয় একসঙ্গে যোগ করতে হবে।

গতবছরের আয় = ৭৫২১২০০ টাকা  
এবছরের আয় = ৩২৫০৩২৫ টাকা

দু-বছরের মোট আয় = গতবছরের আয় + এবছরের আয়  
                       = ৭৫২১২০০ + ৩২৫০৩২৫  
                       = ১০৭৭১৫২৫ টাকা

সুতরাং, দু-বছরে মোট আয় হলো **""উত্তর: ১০৭৭১৫২৫""**।"
154,একটি মেলায় ১২টি জেনারেটর দৈনিক ৬ ঘণ্টা চালালে ৭ দিনে মজুত তেল খরচ হয়। দৈনিক ৪ ঘণ্টা চালালে ৯ দিনে ওই মজুত তেলে _____  টি জেনারেটর চালানো যাবে।,১৪,"প্রথমে, আমাদের বর্তমান তেলের মজুত এবং জেনারেটর চলার গণনা করতে হবে। দেখানো হয়েছে যে, ১২টি জেনারেটর ৬ ঘণ্টা প্রতিদিন চালালে ৭ দিনে মজুত তেল শেষ হয়। 

তাহলে, মোট ঘণ্টা:

\[ 
মোট ঘণ্টা = ১২ \times ৬ \times ৭ = ৫০৪ \text{ ঘণ্টা}
\]

এই ৫০৪ ঘণ্টা তেল দিয়ে, ১২টি জেনারেটর ৬ ঘণ্টা করে ৭ দিন চলে। এখন, আমরা খুঁজে বের করতে চাই যে ওই একই তেল ৯ দিনে দৈনিক ৪ ঘণ্টা চালিয়ে কয়টি জেনারেটর চলতে পারবে।

প্রতিদিন তেল খরচ হবে ৪ ঘণ্টা × প্রতিদিন চালিত জেনারেটর সংখ্যা × ৯ দিন।

ধরি, চালু জেনারেটরের সংখ্যা = \( x \)।

তাহলে, \( ৪ \times ৯ \times x \) = মোট ঘণ্টা

\[ 
৪ \times ৯ \times x = ৫০৪
\]

এরপর, \( x \) এর মান বের করতে সমীকরণটিকে সমাধান করতে হবে:

\[ 
৩৬x = ৫০৪ 
\]

\[ 
x = \frac{৫০৪}{৩৬} 
\]

\[ 
x = ১৪ 
\]

অতএব, মজুত করা তেল দিয়ে ৯ দিনে দৈনিক ৪ ঘণ্টা করে ১৪টি জেনারেটর চালানো যাবে।

**উত্তর: ১৪**"
203,৫৫ মিটার লম্বা বাঁশের ১১ মিটার কাদা ও জলের নীচে আছে। বাঁশটির শতকরা _____ ভাগ কাদা ও জলের উপরে আছে ।,৮০,"প্রথমে আমাদের বাঁশের সেই অংশের দৈর্ঘ্য বের করতে হবে, যেটি কাদা ও জলের উপরে আছে।

বাঁশের মোট দৈর্ঘ্য = ৫৫ মিটার  
কাদা ও জলে নিমজ্জিত অংশের দৈর্ঘ্য = ১১ মিটার  

এখন, কাদা ও জলের উপরে থাকা অংশের দৈর্ঘ্য = মোট দৈর্ঘ্য - নিমজ্জিত অংশের দৈর্ঘ্য  
= ৫৫ মিটার - ১১ মিটার  
= ৪৪ মিটার  

এবার আমরা বের করবো, বাঁশটির মোট দৈর্ঘ্যের কত শতাংশ অংশ কাদা ও জলের উপরে আছে।

শতকরা অংশ = (কাদা ও জলের উপরে থাকা অংশের দৈর্ঘ্য / মোট দৈর্ঘ্য) × ১০০  
= (৪৪ / ৫৫) × ১০০  

সাধারণত, (৪৪ / ৫৫) কে সরল করে লিখি:  

= (৪৪/৫৫) × ১০০  
= (৪/৫) × ১০০  
= ৮০  

সুতরাং, বাঁশটির শতকরা ৮০ ভাগ কাদা ও জলের উপরে আছে।

**উত্তর: ৮০**"
374,"সাজ্জাদ সাহেবের ২৪,০০০ টাকা ছিল। তিনি এই টাকার ৫/১২ অংশ এতিমখানায়, ৩/৮ অংশ শিক্ষা প্রতিষ্ঠানে দান করলেন। তার কাছে _____ টাকা বাকি আছে। ",৫০০০,"প্রথমে সাজ্জাদ সাহেব কত টাকা এতিমখানায় দান করেছেন, সেটা বের করি। 

প্রদত্ত আছে যে, সাজ্জাদ সাহেব ২৪,০০০ টাকার \( \frac{5}{12} \) অংশ এতিমখানায় দান করেছেন। 
তাহলে এতিমখানায় দানকৃত টাকার পরিমাণ হবে:

\[ 24000 \times \frac{5}{12} = 24000 \times 0.4167 \approx 10000 \]

এরপর, সাজ্জাদ সাহেব কত টাকা শিক্ষা প্রতিষ্ঠানে দান করেছেন, তা বের করি।

তিনি তার ২৪,০০০ টাকার \( \frac{3}{8} \) অংশ শিক্ষা প্রতিষ্ঠানে দান করেছেন। 
তাহলে শিক্ষা প্রতিষ্ঠানে দানকৃত টাকার পরিমাণ হবে:

\[ 24000 \times \frac{3}{8} = 24000 \times 0.375 = 9000 \]

এখন, মোট দানকৃত টাকার পরিমাণ নির্ণয় করা যাক:

\[ 10000 + 9000 = 19000 \]

অতএব, সাজ্জাদ সাহেবের কাছে বাকি টাকার পরিমাণ হবে:

\[ 24000 - 19000 = 5000 \]

**উত্তর: 5000**"
506,একটি আয়তাকার ঘরের পরিসীমা একটি বর্গাকার পরীসীমার সমান। আয়তাকার ঘরের দৈর্ঘ্য প্রস্থের ৩ গুণ। প্রতি বর্গমিটারে ৭৫ টাকা দরে ঘরের মেঝে কার্পেট দিয়ে মুড়তে মোট ১১০২৫ টাকা ব্যয় হয়। আয়তাকার ঘরটির দৈর্ঘ্য _____ মিটার।,২১,"ধরা যাক, আয়তাকার ঘরের প্রস্থ \( x \) মিটার। তাহলে দৈর্ঘ্য হবে \( 3x \) মিটার।

আয়তাকার ঘরের আয়তন:
\[
\text{আয়তন} = \text{দৈর্ঘ্য} \times \text{প্রস্থ} = 3x \times x = 3x^2
\]

প্রতি বর্গমিটার কার্পেটের মূল্য ৭৫ টাকা।

মোট খরচ হচ্ছে ১১০২৫ টাকা, সুতরাং:
\[
3x^2 \times 75 = 11025
\]

এখন, সমীকরণটি সরল করে প্রস্থ \( x \) বের করি:
\[
3x^2 = \frac{11025}{75}
\]

\[
3x^2 = 147
\]

\[
x^2 = \frac{147}{3} = 49
\]

\[
x = \sqrt{49} = 7
\]

সুতরাং, আয়তাকার ঘরের প্রস্থ \( 7 \) মিটার। দৈর্ঘ্য \( 3x = 3 \times 7 = 21 \) মিটার।

এখন যাচাই করে দেখব, ঘরের পরিসীমা একটি বর্গাকার ঘরের পরিসীমার সমান কিনা।

আয়তাকার ঘরের পরিসীমা:
\[
2(\text{দৈর্ঘ্য} + \text{প্রস্থ}) = 2(21 + 7) = 2 \times 28 = 56 \text{ মিটার}
\]

বর্গাকার ঘরের পরিসীমা \( 56 \) মিটার হলে, একটি বর্গাকার ঘরের এক বাহুর দৈর্ঘ্য হবে:
\[
\frac{56}{4} = 14 \text{ মিটার}
\]

যেহেতু আমাদের \( x = 7 \) মিটার এবং দৈর্ঘ্য \( 21 \) মিটার সঠিক, তাই উত্তরটি সঠিক।

**উত্তর: 21**"
127,"যদুনাথ বিদ্যামন্দির স্কুলের ষষ্ঠ শ্রেণির ছাত্রছাত্রীদের, স্কুলের বাগানে লাগানোর জন্য পঞ্চায়েত থেকে ফুলগাছের চারা পাঠিয়েছে। হিসাব করে দেখা গেল চারাগুলিকে ২০টি, ২৪টি বা ৩০ টি সারিতে লাগালে প্রতিক্ষেত্রে প্রতিসারিতে সমান চারা থাকে। পঞ্চায়েত থেকে কমপক্ষে _____ টি চারা পাঠিয়েছিল।",১২০,"প্রদত্ত সমস্যায় বলা হয়েছে যে, চারা গাছগুলি ২০টি, ২৪টি বা ৩০টি সারিতে লাগালে প্রতিটি সারিতে সমান সংখ্যক চারা থাকবে। এর মানে আমরা গাছের সংখ্যাটি খুঁজছি যা এই তিনটি সংখ্যার (২০, ২৪, এবং ৩০) একটি সাধারণ গুণক।

এই ধরনের সমস্যার সঠিক সমাধান করতে হলে আমাদের এই তিনটি সংখ্যার লঘিষ্ঠ সাধারণ গুণিতক (LCM) নির্ণয় করতে হবে, যা হলো তিনটি সংখ্যার ক্ষুদ্রতম সংখ্যা যা তাদের প্রত্যেকটি দ্বারা বিভাজ্য।

প্রথমে, আমরা ২০, ২৪, এবং ৩০ এর গুণনীয়ক নির্নয় করি:

২০ এর জন্য মৌলিক গুণনীয়ক: \( 2^2 \times 5 \)

২৪ এর জন্য মৌলিক গুণনীয়ক: \( 2^3 \times 3 \)

৩০ এর জন্য মৌলিক গুণনীয়ক: \( 2 \times 3 \times 5 \)

এখন, প্রতিটি মৌলিক সংখ্যা থেকে সর্বোচ্চ ঘাত সংগ্রহ করে LCM বের করি:

- ২ এর সর্বোচ্চ ঘাত: \( 2^3 \)
- ৩ এর সর্বোচ্চ ঘাত: \( 3^1 \)
- ৫ এর সর্বোচ্চ ঘাত: \( 5^1 \)

এই সবগুলোকে গুণ করলে পাই:

\[ LCM = 2^3 \times 3^1 \times 5^1 = 8 \times 3 \times 5 = 120 \]

অতএব, যদুনাথ বিদ্যামন্দির স্কুলের ষষ্ঠ শ্রেণির জন্য পঞ্চায়েত কমপক্ষে ১২০টি চারা পাঠায়েছিল।

**উত্তর: ১২০**"
224,"আমার কাছে ২২ মিটার লম্বা হলুদ ফিতে, ২৪.৭৫ মিটার লম্বা সবুজ ফিতে ও ১৬.৫০ মিটার লম্বা কমলা ফিতে আছে। এই তিনটি রঙের ফিতে থেকে সবচেয়ে বড়ো মাপের টুকরো কাটতে চাই যাতে প্রত্যেক রঙের ফিতে থেকে, সমান দৈর্ঘ্যের কয়েকটি টুকরো পাই এবং কোনো ফিতে নষ্ট না হয়। ওই সমান দৈর্ঘ্যের ফিতেটি _____ মিটার লম্বা হবে।",২.৭৫,"আমাদের তিনটি পৃথক ফিতে আছে, যার দৈর্ঘ্য যথাক্রমে হলুদ ২২ মিটার, সবুজ ২৪.৭৫ মিটার, এবং কমলা ১৬.৫০ মিটার। আমাদের লক্ষ্য হলো এমন সর্ববৃহৎ দৈর্ঘ্যের একটি টুকরো বের করা যাতে ওই টুকরোগুলো তিনটি ভিন্ন রঙের ফিতে থেকে সমানভাবে কাটা যায় এবং ফিতে নষ্ট না হয়।

এই সমস্যাটি সমাধানের জন্য সাধারণত গসাগু বা গরিষ্ঠ সম্মিলিত ভাগের (GCD) ধারণা ব্যবহার করা হয়। তবে এখানে উল্লিখিত মূল্যগুলি দশমিক আকারে দেওয়া আছে, তাই ক্যালকুলেশনের সুবিধার্থে এগুলোকে প্রথমে পুরো সংখ্যায় কনভার্সন করতে পারি বা সরাসরি দশমিকের মাধ্যমে হিসাব করা যায়।

প্রথমে আমরা দশমিকের পরে সর্বাধিক ডিজিটকে লক্ষ্য করে হিসাব করব। এখানে সর্বোচ্চ দুটি দশমিকের ডিজিট আছে, তাই আমরা প্রতিটি ফিতের দৈর্ঘ্যকে ১০০ দ্বারা গুণ করে চিন্তা করতে পারি:

- হলুদ ফিতে: \(22 \times 100 = 2200\)
- সবুজ ফিতে: \(24.75 \times 100 = 2475\)
- কমলা ফিতে: \(16.50 \times 100 = 1650\)

এখন এই তিনটি সংখ্যার গসাগু নির্ধারণ করি:

প্রথমে \(2200\) এবং \(2475\) এর গসাগু বের করি:
- \(2200 = 2^3 \times 5^2 \times 11\)
- \(2475 = 3 \times 5^2 \times 11\)

এখানে সাধারণ ভাজক \(5^2 \times 11 = 275\)।

তারপর \(275\) এবং \(1650\) এর গসাগু বের করি:
- \(1650 = 2 \times 3 \times 5^2 \times 11\)

এখানে সাধারণ ভাজক \(5^2 \times 11 = 275\)।

সুতরাং, তিনটি সংখ্যার গসাগু হলো \(275\)।

এটি ১০০ দিয়ে ভাগ করে আসল দশমিক সংখ্যায় ফিরে যাব:

\[
\frac{275}{100} = 2.75
\]

ত"
99,"আব্দুল্লাহ ১ মিটার লম্বা একটি রেখা আঁকেন। তারপর তিনি বুঝতে পারলেন যে এটি কিছুটা দীর্ঘ। সুতরাং, তিনি এটির ২২ সেন্টিমিটার মুছে ফেলেছেন। ফলে রেখার দৈর্ঘ্য  এখন _____ সে.মি.।",৭৮,"প্রথমে, আমরা রেখার মোট দৈর্ঘ্যকে সেন্টিমিটারে রূপান্তর করব। যেহেতু ১ মিটার সমান ১০০ সেন্টিমিটার, সুতরাং রেখার প্রাথমিক দৈর্ঘ্য ছিল ১০০ সেন্টিমিটার।

এরপর তিনি রেখার ২২ সেন্টিমিটার মুছে ফেলেছেন। সুতরাং রেখার দৈর্ঘ্য এখন:

\[ ১০০ \, \text{সেন্টিমিটার} - ২২ \, \text{সেন্টিমিটার} = ৭৮ \, \text{সেন্টিমিটার} \]

এইভাবে, রেখার বর্তমান দৈর্ঘ্য হলো ৭৮ সেন্টিমিটার।

**উত্তর: ৭৮**"
